Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Wetland,Water,Non_Wetland,Shrubland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_23LMH_M_R,Shrubland,242,59,75,80,118,35,29,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LMH_M_R,Grassland,0,82,28,12,107,2,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LMH_M_R,Bareland,206,47,0,67,46,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LMH_M_R,Water,270,45,82,6,148,114,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LMH_M_R,Forest,383,97,48,52,0,55,75,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LMH_M_R,Non_Wetland,4,2,0,0,2,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LMH_M_R,Cropland,441,0,210,167,232,1,10,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LMH_M_R,Wetland,65,0,3,0,48,0,54,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LMH_M_R,Built-up,170,93,70,0,108,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LMH_M_R,Lichens_and_Mosses,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LMH_M_R,Permanent_ice_and_snow,5,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LMH_M_R,Shrubland,0,0,0,0,0,0,0,146,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LMH_M_R,Wetland,0,0,0,0,0,0,37,337,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LMH_M_R,Grassland,0,0,0,0,0,1,9,53,0,0,0,0
