Dataset,MajorityClass,Grassland,Cropland,Bareland,Forest,Wetland,Built-up,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_23LKK_M_R,Shrubland,237,51,71,139,32,41,25,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKK_M_R,Grassland,0,108,49,207,4,24,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKK_M_R,Non_Wetland,7,0,0,5,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKK_M_R,Bareland,159,48,0,48,4,26,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKK_M_R,Forest,458,85,26,0,21,34,77,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKK_M_R,Cropland,377,0,110,244,0,78,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKK_M_R,Wetland,50,0,7,46,0,0,13,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKK_M_R,Built-up,73,24,21,53,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKK_M_R,Water,130,4,56,276,37,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKK_M_R,Permanent_ice_and_snow,6,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKK_M_R,Non_Wetland,1,0,0,2,11,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKK_M_R,Shrubland,72,0,33,34,81,6,20,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKK_M_R,Grassland,0,0,49,114,86,3,9,233,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKK_M_R,Cropland,399,0,135,127,88,2,3,408,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKK_M_R,Wetland,2,0,0,4,0,0,18,23,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKK_M_R,Bareland,114,0,0,8,17,2,9,103,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKK_M_R,Built-up,77,0,36,6,9,0,0,95,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKK_M_R,Forest,327,0,54,0,402,22,91,608,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKK_M_R,Water,14,0,7,96,215,0,0,224,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKK_M_R,Permanent_ice_and_snow,0,0,0,0,2,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LKK_M_R,Shrubland,0,0,0,0,0,0,0,0,153,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LKK_M_R,Wetland,0,0,0,0,0,0,3,0,150,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LKK_M_R,Grassland,0,0,0,0,4,0,5,0,119,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LKK_M_R,Forest,0,0,0,0,84,0,78,0,586,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LKK_M_R,Water,0,0,0,0,110,0,0,0,229,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LKK_M_R,Bareland,0,0,0,0,1,0,4,0,30,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LKK_M_R,Cropland,0,0,0,0,0,0,0,0,98,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LKK_M_R,Built-up,0,0,0,0,0,0,0,0,9,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23LKK_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LKK_M_R,Grassland,0,103,150,49,40,16,2,216,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LKK_M_R,Non_Wetland,2,0,0,2,7,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LKK_M_R,Wetland,6,0,3,5,0,0,7,40,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LKK_M_R,Forest,340,111,280,0,293,25,76,588,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LKK_M_R,Bareland,52,28,0,0,11,3,1,59,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LKK_M_R,Water,7,0,95,104,188,1,0,207,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LKK_M_R,Shrubland,63,26,77,18,48,10,9,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LKK_M_R,Cropland,279,0,293,31,13,14,0,266,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LKK_M_R,Built-up,60,1,64,3,0,0,0,57,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23LKK_M_R,Permanent_ice_and_snow,0,0,4,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LKK_M_R,Shrubland,0,0,0,0,0,0,43,0,0,4,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LKK_M_R,Wetland,0,0,0,0,0,0,34,0,0,6,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LKK_M_R,Grassland,0,0,0,0,0,0,11,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LKK_M_R,Bareland,0,0,0,0,0,0,9,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LKK_M_R,Forest,0,0,0,0,0,0,136,0,0,52,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LKK_M_R,Water,0,0,0,0,0,0,0,0,0,109,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23LKK_M_R,Cropland,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LKK_M_R,Grassland,0,191,16,188,4,38,5,309,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LKK_M_R,Wetland,3,1,10,36,0,0,3,72,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LKK_M_R,Bareland,14,133,0,68,1,28,4,174,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LKK_M_R,Forest,212,214,36,0,84,50,78,513,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LKK_M_R,Cropland,129,0,8,206,0,45,0,331,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LKK_M_R,Water,5,16,21,177,110,0,0,265,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LKK_M_R,Built-up,13,55,3,27,0,0,0,73,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LKK_M_R,Shrubland,22,24,5,27,0,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23LKK_M_R,Permanent_ice_and_snow,0,3,0,0,0,0,0,7,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LKK_M_R,Grassland,0,402,0,172,0,82,3,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LKK_M_R,Forest,0,331,0,0,4,104,259,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LKK_M_R,Shrubland,0,117,0,87,0,79,49,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LKK_M_R,Wetland,0,12,0,16,0,2,34,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LKK_M_R,Bareland,0,159,0,25,0,54,11,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LKK_M_R,Built-up,0,5,0,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LKK_M_R,Water,0,2,0,6,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LKK_M_R,Cropland,0,0,2,66,0,36,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23LKK_M_R,Permanent_ice_and_snow,0,2,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LKK_M_R,Forest,109,120,75,0,0,0,30,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LKK_M_R,Shrubland,67,87,89,142,2,0,26,0,0,0,0,10
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LKK_M_R,Cropland,88,0,121,92,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LKK_M_R,Wetland,14,5,11,56,0,0,24,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LKK_M_R,Bareland,8,29,0,9,0,0,2,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LKK_M_R,Water,9,1,23,173,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LKK_M_R,Grassland,0,116,113,132,0,0,3,0,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_23LKK_M_R,Built-up,0,11,5,36,0,0,0,0,0,0,0,0
