Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Forest,Built-up,Water,Non_Wetland,Shrubland,Lichens_and_Mosses,Non_Water
AMAZON_EXTENSION_2024_WorldCover_2021_20KPC_M_R,Shrubland,1,1,1,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KPC_M_R,Grassland,0,6,1,1,9,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KPC_M_R,Cropland,35,0,6,11,21,8,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KPC_M_R,Wetland,5,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KPC_M_R,Bareland,17,2,0,0,3,8,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KPC_M_R,Built-up,8,6,0,5,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KPC_M_R,Water,24,0,0,16,4,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20KPC_M_R,Forest,29,10,0,10,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KPC_M_R,Shrubland,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KPC_M_R,Grassland,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KPC_M_R,Cropland,0,0,1,0,0,0,1,6,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KPC_M_R,Built-up,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KPC_M_R,Water,0,0,4,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20KPC_M_R,Forest,0,0,4,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KPC_M_R,Water,13,12,4,13,7,5,0,0,13,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KPC_M_R,Cropland,26,0,1,13,17,10,1,0,17,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KPC_M_R,Built-up,4,6,0,5,3,0,1,0,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KPC_M_R,Forest,17,30,4,10,0,10,4,0,19,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KPC_M_R,Grassland,0,7,0,0,8,0,0,0,10,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20KPC_M_R,Bareland,10,13,0,0,4,6,0,0,3,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KPC_M_R,Grassland,0,22,0,0,12,2,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KPC_M_R,Wetland,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KPC_M_R,Bareland,0,14,0,0,7,7,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KPC_M_R,Built-up,0,1,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KPC_M_R,Forest,0,21,0,0,0,8,1,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KPC_M_R,Cropland,0,0,0,0,10,10,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20KPC_M_R,Water,0,16,0,0,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KPC_M_R,Cropland,0,0,0,0,0,0,12,0,0,0,1
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KPC_M_R,Grassland,0,0,0,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KPC_M_R,Bareland,0,0,0,0,0,0,4,0,0,0,1
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KPC_M_R,Water,0,0,0,0,0,0,0,0,0,0,6
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KPC_M_R,Wetland,0,0,0,0,0,0,0,0,0,0,1
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20KPC_M_R,Forest,0,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20KPC_M_R,Cropland,8,0,0,7,9,0,6,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20KPC_M_R,Forest,7,7,0,2,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20KPC_M_R,Grassland,0,3,0,2,2,0,3,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20KPC_M_R,Wetland,0,1,0,1,1,0,1,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20KPC_M_R,Bareland,0,1,0,0,1,0,3,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20KPC_M_R,Built-up,0,2,0,2,2,0,1,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20KPC_M_R,Water,0,0,0,2,2,0,0,0,0,0,0
