Dataset,MajorityClass,Grassland,Wetland,Bareland,Built-up,Water,Forest,Cropland,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19LFH_M_R,Shrubland,3,2,2,1,1,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LFH_M_R,Grassland,0,19,7,8,5,18,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LFH_M_R,Cropland,35,2,17,20,2,21,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LFH_M_R,Wetland,53,0,5,0,31,41,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LFH_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LFH_M_R,Bareland,19,5,0,3,21,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LFH_M_R,Built-up,12,2,6,0,2,9,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LFH_M_R,Water,77,50,40,3,0,59,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LFH_M_R,Forest,77,45,49,23,35,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LFH_M_R,Permanent_ice_and_snow,2,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LFH_M_R,Shrubland,0,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LFH_M_R,Grassland,0,8,0,0,1,0,0,33,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LFH_M_R,Cropland,0,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LFH_M_R,Bareland,0,18,0,0,4,0,0,6,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LFH_M_R,Forest,0,32,0,0,15,0,0,74,0,0,0,0
