Dataset,MajorityClass,Grassland,Forest,Cropland,Built-up,Wetland,Bareland,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20LRK_M_R,Shrubland,172,114,35,46,23,22,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LRK_M_R,Grassland,0,357,176,78,152,107,47,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LRK_M_R,Non_Wetland,7,9,1,0,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LRK_M_R,Bareland,252,166,91,64,9,0,46,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LRK_M_R,Forest,739,0,222,175,147,79,59,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LRK_M_R,Cropland,660,503,0,199,49,170,18,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LRK_M_R,Wetland,226,233,6,1,0,5,84,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LRK_M_R,Built-up,216,171,81,0,0,70,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LRK_M_R,Water,395,407,9,6,232,66,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LRK_M_R,Lichens_and_Mosses,2,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LRK_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRK_M_R,Non_Wetland,5,1,0,0,7,4,2,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRK_M_R,Shrubland,65,29,0,9,32,41,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRK_M_R,Grassland,0,146,0,41,267,190,34,185,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRK_M_R,Cropland,673,290,0,167,182,325,5,405,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRK_M_R,Wetland,373,22,0,0,0,14,78,24,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRK_M_R,Bareland,214,36,0,41,28,0,2,53,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRK_M_R,Built-up,118,26,0,0,13,125,4,98,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRK_M_R,Forest,939,0,0,60,579,420,148,572,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRK_M_R,Non_Water,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LRK_M_R,Water,581,70,0,27,220,168,0,61,0,0,0,0
