Dataset,MajorityClass,Grassland,Forest,Built-up,Water,Wetland,Bareland,Non_Water,Shrubland,Cropland,Non_Wetland
AMAZON_EXTENSION_2024_WorldCover_2021_18NXF_M_R,Shrubland,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NXF_M_R,Grassland,0,8,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NXF_M_R,Cropland,4,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NXF_M_R,Wetland,8,7,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NXF_M_R,Built-up,2,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NXF_M_R,Forest,20,0,0,9,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18NXF_M_R,Water,12,20,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NXF_M_R,Wetland,0,0,0,3,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NXF_M_R,Water,0,0,0,0,0,0,14,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18NXF_M_R,Forest,0,0,0,15,0,0,10,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NXF_M_R,Cropland,2,2,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NXF_M_R,Built-up,0,1,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NXF_M_R,Forest,14,0,2,5,16,2,0,11,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NXF_M_R,Grassland,0,3,1,0,1,0,0,6,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18NXF_M_R,Water,8,10,0,0,17,1,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NXF_M_R,Grassland,0,4,1,1,0,0,0,0,7,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NXF_M_R,Forest,0,0,0,15,6,0,0,0,7,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NXF_M_R,Wetland,0,3,0,3,0,0,0,0,1,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18NXF_M_R,Water,0,11,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NXF_M_R,Grassland,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NXF_M_R,Water,0,0,0,0,17,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18NXF_M_R,Forest,0,0,0,5,16,0,0,0,0,7
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NXF_M_R,Forest,5,0,0,3,0,0,0,0,2,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NXF_M_R,Wetland,0,13,0,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NXF_M_R,Grassland,0,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18NXF_M_R,Water,0,20,0,0,0,0,0,0,0,0
