Dataset,MajorityClass,Bareland,Built-up,Water,Forest,Wetland,Grassland,Cropland,Non_Wetland,Shrubland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19LCL_M_R,Grassland,62,62,43,286,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LCL_M_R,Non_Wetland,0,0,0,3,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LCL_M_R,Bareland,0,11,68,64,0,192,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LCL_M_R,Built-up,42,0,15,105,0,146,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LCL_M_R,Water,462,5,0,763,3,906,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LCL_M_R,Forest,237,25,265,0,0,748,7,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LCL_M_R,Non_Water,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LCL_M_R,Shrubland,0,1,0,7,0,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LCL_M_R,Cropland,3,10,3,52,0,78,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LCL_M_R,Wetland,14,0,32,62,0,88,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LCL_M_R,Lichens_and_Mosses,0,0,0,1,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19LCL_M_R,Permanent_ice_and_snow,0,0,0,6,0,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LCL_M_R,Grassland,0,0,58,0,33,0,0,289,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LCL_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LCL_M_R,Water,0,0,0,0,246,0,0,266,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LCL_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LCL_M_R,Bareland,0,0,33,0,19,0,0,73,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LCL_M_R,Built-up,0,0,8,0,5,0,0,18,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LCL_M_R,Forest,0,0,139,0,227,0,0,592,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LCL_M_R,Cropland,0,0,3,0,1,0,0,18,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LCL_M_R,Wetland,0,0,1,0,0,0,0,37,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19LCL_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LCL_M_R,Grassland,332,43,199,95,197,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LCL_M_R,Non_Wetland,0,0,0,0,4,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LCL_M_R,Bareland,0,9,233,67,81,88,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LCL_M_R,Built-up,100,0,9,13,18,74,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LCL_M_R,Water,295,21,0,378,454,550,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LCL_M_R,Forest,318,44,501,0,559,548,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LCL_M_R,Non_Water,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LCL_M_R,Shrubland,2,0,2,2,3,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LCL_M_R,Cropland,53,5,16,9,18,45,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LCL_M_R,Wetland,6,0,20,8,0,15,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LCL_M_R,Lichens_and_Mosses,0,0,0,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19LCL_M_R,Permanent_ice_and_snow,4,0,1,0,2,3,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LCL_M_R,Non_Wetland,1,0,1,0,1,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LCL_M_R,Forest,504,84,508,0,67,901,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LCL_M_R,Grassland,277,95,199,27,11,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LCL_M_R,Non_Water,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LCL_M_R,Shrubland,3,1,4,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LCL_M_R,Water,483,97,0,121,1,769,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LCL_M_R,Cropland,54,20,24,0,0,46,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LCL_M_R,Wetland,20,3,49,5,0,79,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LCL_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LCL_M_R,Bareland,0,7,187,0,0,32,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LCL_M_R,Built-up,88,0,28,3,0,76,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19LCL_M_R,Permanent_ice_and_snow,1,2,6,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LCL_M_R,Grassland,0,0,141,0,0,0,0,0,0,161,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LCL_M_R,Shrubland,0,0,0,0,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LCL_M_R,Water,0,0,0,0,0,0,0,0,0,717,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LCL_M_R,Cropland,0,0,4,0,0,0,0,0,0,13,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LCL_M_R,Wetland,0,0,35,0,0,0,0,0,0,42,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LCL_M_R,Bareland,0,0,128,0,0,0,0,0,0,193,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LCL_M_R,Built-up,0,0,11,0,0,0,0,0,0,17,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LCL_M_R,Forest,0,0,429,0,0,0,0,0,0,478,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19LCL_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LCL_M_R,Grassland,52,126,58,322,33,0,137,0,155,0,20,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LCL_M_R,Bareland,0,71,33,88,19,121,24,0,60,0,56,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LCL_M_R,Water,229,156,0,514,246,301,97,0,247,0,69,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19LCL_M_R,Forest,176,157,139,0,227,298,185,0,200,0,78,0
