Dataset,MajorityClass,Grassland,Cropland,Bareland,Forest,Wetland,Built-up,Water,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_23LKF_M_R,Shrubland,218,26,80,147,30,44,51,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKF_M_R,Grassland,0,94,32,137,17,32,22,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKF_M_R,Non_Wetland,5,0,1,3,5,0,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKF_M_R,Bareland,209,35,0,86,7,25,50,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKF_M_R,Water,508,28,214,531,103,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKF_M_R,Forest,549,112,124,0,68,33,160,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKF_M_R,Cropland,216,0,39,137,15,34,12,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKF_M_R,Wetland,121,9,6,66,0,0,29,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKF_M_R,Built-up,147,34,34,104,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKF_M_R,Non_Water,1,0,0,2,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23LKF_M_R,Permanent_ice_and_snow,3,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKF_M_R,Non_Wetland,4,0,2,0,11,0,1,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKF_M_R,Shrubland,77,0,43,31,35,9,52,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKF_M_R,Grassland,0,0,54,78,30,17,34,202,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKF_M_R,Cropland,259,0,55,82,10,10,23,180,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23LKF_M_R,Bareland,92,0,0,29,5,17,129,149,0,0,0
