Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_23KNP_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_23KNP_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_23KNP_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KNP_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KNP_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KNP_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KNP_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_23KNP_M_R
0,Water,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1,Water,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
2,Water,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
3,Water,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
4,Water,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
5,Water,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,Water
6,Water,NULL,Bareland,Water,Non_Wetland,NULL,NULL,Water
7,Water,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
8,Water,NULL,Water,NULL,NULL,NULL,NULL,NULL
9,Water,NULL,Water,NULL,NULL,NULL,NULL,Water
10,Water,NULL,Water,Water,NULL,NULL,NULL,NULL
11,Water,NULL,Water,Water,NULL,NULL,NULL,Water
12,Water,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
13,Water,Water,Bareland,Water,Non_Wetland,NULL,NULL,Water
14,Water,Water,Bareland,Water,Non_Wetland,Water,NULL,Water
15,Water,Water,Bareland,Water,Non_Wetland,Water,Water,Water
16,Water,Water,Water,Water,NULL,NULL,NULL,NULL
17,Water,Water,Water,Water,NULL,NULL,NULL,Water
18,Water,Water,Water,Water,NULL,Water,NULL,Water
19,Water,Water,Water,Water,NULL,Water,Water,Water
