Dataset,MajorityClass,Grassland,Forest,Cropland,Built-up,Wetland,Bareland,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21LTD_M_R,Shrubland,124,91,27,27,23,14,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTD_M_R,Grassland,0,285,117,64,112,61,58,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTD_M_R,Non_Wetland,8,10,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTD_M_R,Bareland,253,243,37,44,13,0,75,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTD_M_R,Forest,630,0,106,112,175,102,109,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTD_M_R,Cropland,479,354,0,122,21,101,27,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTD_M_R,Wetland,243,229,4,8,0,7,98,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTD_M_R,Water,507,492,25,14,266,136,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTD_M_R,Built-up,148,116,40,0,0,35,10,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LTD_M_R,Lichens_and_Mosses,3,1,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTD_M_R,Non_Wetland,4,1,0,0,13,4,2,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTD_M_R,Shrubland,58,29,0,0,34,41,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTD_M_R,Grassland,0,103,0,20,253,160,22,127,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTD_M_R,Cropland,577,176,0,59,162,189,4,203,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTD_M_R,Wetland,356,23,0,0,0,62,101,16,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTD_M_R,Bareland,186,22,0,11,42,0,24,17,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTD_M_R,Forest,1001,0,0,36,613,592,140,386,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTD_M_R,Water,758,56,0,23,314,367,0,16,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTD_M_R,Built-up,140,10,0,0,30,89,0,24,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LTD_M_R,Lichens_and_Mosses,3,0,0,0,1,1,0,0,0,0,0,0
