Dataset,MajorityClass,Grassland,Cropland,Built-up,Forest,Wetland,Bareland,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses
AMAZON_EXTENSION_2024_WorldCover_2021_23KKS_M_R,Shrubland,130,61,38,85,18,18,15,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KKS_M_R,Grassland,0,119,26,123,7,20,15,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KKS_M_R,Non_Wetland,15,9,3,15,1,0,5,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KKS_M_R,Bareland,119,53,39,84,15,0,61,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KKS_M_R,Built-up,98,49,0,69,4,55,34,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KKS_M_R,Water,354,126,62,389,118,143,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KKS_M_R,Forest,394,190,122,0,86,82,218,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KKS_M_R,Cropland,300,0,107,216,14,83,66,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KKS_M_R,Wetland,194,48,13,164,0,3,121,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KKS_M_R,Non_Water,1,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23KKS_M_R,Lichens_and_Mosses,3,3,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKS_M_R,Non_Wetland,2,0,4,4,27,4,4,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKS_M_R,Shrubland,26,0,35,30,56,30,19,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKS_M_R,Grassland,0,0,39,62,94,24,56,41,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKS_M_R,Cropland,114,0,139,145,166,127,116,94,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKS_M_R,Wetland,17,0,11,26,0,19,154,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKS_M_R,Bareland,9,0,58,33,21,0,86,5,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKS_M_R,Built-up,15,0,0,21,31,51,35,16,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKS_M_R,Water,83,0,120,145,229,110,0,24,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKS_M_R,Forest,136,0,135,0,332,147,232,145,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKS_M_R,Non_Water,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23KKS_M_R,Lichens_and_Mosses,0,0,2,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KKS_M_R,Wetland,0,0,0,0,0,0,0,0,404,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KKS_M_R,Shrubland,0,0,0,0,0,0,0,0,110,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KKS_M_R,Grassland,0,0,0,0,10,0,3,0,176,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KKS_M_R,Cropland,0,0,0,0,8,0,3,0,280,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KKS_M_R,Built-up,0,0,0,0,1,0,1,0,71,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KKS_M_R,Forest,0,0,0,0,90,0,41,0,673,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KKS_M_R,Water,0,0,0,0,142,0,0,0,402,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KKS_M_R,Bareland,0,0,0,0,6,0,13,0,52,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23KKS_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KKS_M_R,Grassland,0,40,17,50,86,44,7,53,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KKS_M_R,Non_Wetland,3,1,1,2,28,7,1,5,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KKS_M_R,Wetland,4,10,3,53,0,76,59,15,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KKS_M_R,Forest,94,101,78,0,315,272,120,143,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KKS_M_R,Built-up,13,20,0,25,37,91,6,16,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KKS_M_R,Non_Water,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KKS_M_R,Water,12,59,66,172,266,286,0,19,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KKS_M_R,Shrubland,23,21,17,25,41,44,14,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KKS_M_R,Bareland,4,16,15,28,7,0,10,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KKS_M_R,Cropland,100,0,101,97,111,162,18,70,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23KKS_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_23KKS_M_R,Forest,0,0,0,0,0,0,165,0,0,153,0
