Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Wetland,Water,Permanent_ice_and_snow,Shrubland,Lichens_and_Mosses,Non_Water,Non_Wetland
AMAZON_EXTENSION_2024_WorldCover_2021_19KFQ_M_R,Shrubland,1,1,1,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KFQ_M_R,Grassland,0,0,9,0,0,2,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KFQ_M_R,Cropland,30,0,18,1,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KFQ_M_R,Wetland,62,0,35,0,0,0,43,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KFQ_M_R,Lichens_and_Mosses,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KFQ_M_R,Bareland,70,2,0,8,6,5,43,4,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KFQ_M_R,Built-up,9,0,5,0,4,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KFQ_M_R,Forest,42,0,10,0,0,4,9,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KFQ_M_R,Water,79,0,78,1,0,3,0,4,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KFQ_M_R,Permanent_ice_and_snow,7,0,19,0,0,0,11,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KFQ_M_R,Water,1,7,35,12,8,39,0,1,65,11,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KFQ_M_R,Cropland,4,0,15,8,3,0,0,0,16,3,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KFQ_M_R,Bareland,11,16,0,26,10,30,10,2,57,20,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KFQ_M_R,Built-up,1,3,4,0,1,0,0,0,5,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KFQ_M_R,Grassland,0,8,8,2,4,5,0,0,9,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KFQ_M_R,Wetland,0,4,3,0,8,0,0,0,16,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KFQ_M_R,Permanent_ice_and_snow,1,0,7,4,0,5,1,0,11,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KFQ_M_R,Forest,2,14,14,7,0,1,0,0,21,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KFQ_M_R,Wetland,0,0,0,0,0,0,35,0,0,0,11,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KFQ_M_R,Bareland,0,0,0,0,0,0,67,0,0,0,23,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KFQ_M_R,Grassland,0,0,0,0,0,0,11,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KFQ_M_R,Cropland,0,0,0,0,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KFQ_M_R,Water,0,0,0,0,0,0,0,0,0,0,43,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KFQ_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,7,0,0,0,4,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KFQ_M_R,Forest,0,0,0,0,0,0,10,0,0,0,1,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KFQ_M_R,Bareland,0,12,0,19,3,12,21,21,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KFQ_M_R,Water,0,6,59,4,12,25,0,23,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KFQ_M_R,Grassland,0,1,12,1,0,7,6,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KFQ_M_R,Wetland,0,0,22,0,4,0,15,13,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KFQ_M_R,Cropland,0,0,9,5,2,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KFQ_M_R,Built-up,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KFQ_M_R,Permanent_ice_and_snow,0,0,6,0,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KFQ_M_R,Forest,0,1,9,7,0,7,2,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KFQ_M_R,Bareland,0,0,0,0,0,30,10,0,0,0,0,24
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KFQ_M_R,Water,0,0,0,0,0,39,0,0,0,0,0,22
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KFQ_M_R,Grassland,0,0,0,0,0,5,0,0,0,0,0,9
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KFQ_M_R,Wetland,0,0,0,0,0,0,0,0,0,0,0,42
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KFQ_M_R,Forest,0,0,0,0,0,1,0,0,0,0,0,12
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KFQ_M_R,Permanent_ice_and_snow,0,0,0,0,0,5,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KFQ_M_R,Wetland,6,7,22,0,12,0,17,11,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KFQ_M_R,Bareland,8,19,0,0,9,7,26,22,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KFQ_M_R,Water,8,0,42,0,6,15,0,27,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KFQ_M_R,Grassland,0,2,1,0,2,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KFQ_M_R,Built-up,0,2,4,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KFQ_M_R,Forest,0,1,0,0,0,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KFQ_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,0,0,0
