Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Wetland,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_24LYQ_M_R,Shrubland,258,85,28,51,137,21,8,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LYQ_M_R,Non_Wetland,3,0,0,0,4,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LYQ_M_R,Grassland,0,366,71,102,397,76,33,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LYQ_M_R,Bareland,524,197,0,51,73,36,38,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LYQ_M_R,Built-up,541,301,115,0,305,15,25,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LYQ_M_R,Water,1603,450,319,36,701,503,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LYQ_M_R,Forest,909,351,37,61,0,181,69,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LYQ_M_R,Cropland,1115,0,173,242,455,93,83,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LYQ_M_R,Wetland,655,235,31,11,255,0,54,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LYQ_M_R,Non_Water,3,1,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LYQ_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LYQ_M_R,Permanent_ice_and_snow,52,7,4,0,7,4,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LYQ_M_R,Non_Wetland,3,0,0,0,0,4,0,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LYQ_M_R,Shrubland,61,0,23,34,10,2,31,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LYQ_M_R,Grassland,0,0,71,176,154,62,127,414,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LYQ_M_R,Cropland,992,0,254,491,166,28,254,553,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LYQ_M_R,Bareland,167,0,0,99,11,0,281,54,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LYQ_M_R,Built-up,245,0,90,0,23,6,59,151,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LYQ_M_R,Water,423,0,109,201,200,85,0,452,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LYQ_M_R,Forest,554,0,97,242,0,98,185,922,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LYQ_M_R,Non_Water,2,0,1,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LYQ_M_R,Wetland,201,0,127,39,72,0,295,188,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LYQ_M_R,Permanent_ice_and_snow,7,0,2,1,1,0,7,12,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LYQ_M_R,Non_Wetland,2,1,1,0,0,4,0,3,0,0,0,0
