Dataset,MajorityClass,Forest,Wetland,Bareland,Built-up,Cropland,Water,Grassland,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22MCC_M_R,Grassland,342,123,72,28,1,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MCC_M_R,Non_Wetland,7,6,0,0,0,0,9,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MCC_M_R,Water,607,416,127,0,1,0,365,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MCC_M_R,Wetland,604,0,78,2,6,249,754,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MCC_M_R,Bareland,101,9,0,7,0,28,111,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MCC_M_R,Forest,0,132,18,10,2,56,376,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MCC_M_R,Non_Water,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MCC_M_R,Shrubland,18,5,2,2,0,0,18,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MCC_M_R,Built-up,58,2,23,0,0,2,90,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MCC_M_R,Cropland,39,0,3,4,0,0,27,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MCC_M_R,Permanent_ice_and_snow,3,0,1,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCC_M_R,Non_Wetland,2,10,0,0,0,2,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCC_M_R,Grassland,119,260,103,46,0,82,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCC_M_R,Wetland,99,0,53,0,0,633,421,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCC_M_R,Bareland,38,39,0,21,0,77,112,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCC_M_R,Forest,0,602,92,26,0,287,412,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCC_M_R,Non_Water,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCC_M_R,Water,190,614,33,1,0,0,302,0,0,0,0,0
