Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Water,Forest,Wetland,Non_Water,Shrubland,Non_Wetland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_18MUT_M_R,Shrubland,3,2,3,1,2,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MUT_M_R,Grassland,0,12,7,7,3,16,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MUT_M_R,Cropland,89,0,70,25,58,77,4,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MUT_M_R,Wetland,51,13,18,0,50,40,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MUT_M_R,Bareland,76,18,0,9,55,65,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MUT_M_R,Built-up,19,9,15,0,13,22,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MUT_M_R,Water,147,65,109,12,0,141,11,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MUT_M_R,Forest,98,46,66,29,53,0,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MUT_M_R,Permanent_ice_and_snow,11,3,2,2,1,12,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUT_M_R,Shrubland,0,0,0,0,3,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUT_M_R,Grassland,0,0,0,0,19,0,0,4,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUT_M_R,Cropland,0,0,0,0,95,0,0,51,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUT_M_R,Wetland,0,0,0,0,50,0,0,45,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUT_M_R,Bareland,0,0,0,0,91,0,0,54,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUT_M_R,Built-up,0,0,0,0,24,0,0,5,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUT_M_R,Water,0,0,0,0,0,0,0,191,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUT_M_R,Forest,0,0,0,0,109,0,0,59,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUT_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUT_M_R,Water,36,98,71,39,0,106,69,0,104,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUT_M_R,Cropland,49,0,45,24,12,76,23,0,80,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUT_M_R,Bareland,25,65,0,29,12,53,26,0,48,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUT_M_R,Built-up,12,16,12,0,1,18,1,0,16,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUT_M_R,Forest,41,68,50,35,17,0,34,0,79,0,0
