Dataset,MajorityClass,Grassland,Forest,Cropland,Wetland,Bareland,Built-up,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_24KTB_M_R,Shrubland,47,56,24,25,11,11,10,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KTB_M_R,Grassland,0,255,158,194,52,62,86,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KTB_M_R,Non_Wetland,7,9,3,11,0,3,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KTB_M_R,Bareland,211,82,30,31,0,35,55,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KTB_M_R,Built-up,117,88,40,46,52,0,35,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KTB_M_R,Water,422,460,174,350,191,69,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KTB_M_R,Forest,325,0,108,189,51,66,139,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KTB_M_R,Cropland,238,198,0,122,53,56,30,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KTB_M_R,Wetland,390,260,170,0,53,24,207,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KTB_M_R,Non_Water,2,6,1,0,1,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24KTB_M_R,Permanent_ice_and_snow,13,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KTB_M_R,Non_Wetland,4,0,0,17,1,4,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KTB_M_R,Shrubland,27,6,0,26,12,25,19,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KTB_M_R,Grassland,0,53,0,248,55,83,147,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KTB_M_R,Cropland,228,36,0,171,69,142,87,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KTB_M_R,Wetland,198,4,0,0,69,141,326,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KTB_M_R,Bareland,67,6,0,29,0,78,97,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KTB_M_R,Built-up,37,13,0,27,33,0,42,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KTB_M_R,Water,298,84,0,327,92,224,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KTB_M_R,Forest,249,0,0,282,74,138,209,19,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KTB_M_R,Non_Water,1,0,0,0,0,2,8,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24KTB_M_R,Permanent_ice_and_snow,0,0,0,1,3,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KTB_M_R,Wetland,0,0,0,0,0,0,28,0,1086,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KTB_M_R,Grassland,0,0,0,75,0,0,20,0,566,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KTB_M_R,Cropland,0,0,0,9,0,0,1,0,337,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KTB_M_R,Built-up,0,0,0,2,0,0,1,0,96,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KTB_M_R,Forest,0,0,0,62,0,0,35,0,580,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KTB_M_R,Water,0,0,0,213,0,0,0,0,611,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KTB_M_R,Shrubland,0,0,0,0,0,0,0,0,62,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KTB_M_R,Bareland,0,0,0,59,0,0,4,0,76,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24KTB_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KTB_M_R,Grassland,0,56,116,95,107,50,56,13,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KTB_M_R,Non_Wetland,6,3,2,7,1,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KTB_M_R,Wetland,283,43,41,0,150,43,93,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KTB_M_R,Bareland,54,3,13,1,0,21,11,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KTB_M_R,Built-up,48,4,15,16,73,0,12,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KTB_M_R,Water,163,98,53,313,187,95,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KTB_M_R,Forest,275,0,65,175,109,73,131,22,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KTB_M_R,Non_Water,1,0,0,0,2,1,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KTB_M_R,Shrubland,33,3,8,11,20,18,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KTB_M_R,Cropland,189,38,0,34,89,74,13,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24KTB_M_R,Permanent_ice_and_snow,0,0,0,0,9,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KTB_M_R,Water,0,0,0,0,0,0,0,0,0,424,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KTB_M_R,Grassland,0,0,0,0,0,0,344,0,0,81,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KTB_M_R,Built-up,0,0,0,0,0,0,63,0,0,18,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KTB_M_R,Wetland,0,0,0,0,0,0,534,0,0,168,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KTB_M_R,Cropland,0,0,0,0,0,0,185,0,0,39,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_24KTB_M_R,Shrubland,0,0,0,0,0,0,21,0,0,8,0,0
