Dataset,MajorityClass,Non_Wetland,Water,Wetland,Bareland,Built-up,Forest,Shrubland,Grassland,Cropland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NEG_M_R,Wetland,3131,283,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NEG_M_R,Grassland,940,15,53,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NEG_M_R,Cropland,438,7,38,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NEG_M_R,Water,1492,0,602,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NEG_M_R,Bareland,175,2,4,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NEG_M_R,Shrubland,66,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NEG_M_R,Forest,1455,78,247,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NEG_M_R,Built-up,203,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NEG_M_R,Permanent_ice_and_snow,36,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NEG_M_R,Grassland,0,264,577,50,25,48,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NEG_M_R,Non_Wetland,0,6,5,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NEG_M_R,Cropland,0,218,275,6,0,9,0,32,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NEG_M_R,Wetland,0,1940,0,59,11,70,0,149,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NEG_M_R,Bareland,0,52,120,0,6,18,0,18,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NEG_M_R,Water,0,0,1234,15,3,37,1,55,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NEG_M_R,Shrubland,0,12,34,8,5,9,0,7,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NEG_M_R,Built-up,0,22,121,39,0,13,0,16,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NEG_M_R,Forest,0,416,991,43,42,0,50,256,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NEG_M_R,Permanent_ice_and_snow,0,5,26,2,0,2,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NEG_M_R,Wetland,0,856,0,589,6,191,2,877,648,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NEG_M_R,Non_Wetland,0,0,3,4,0,0,0,1,4,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NEG_M_R,Water,0,0,1108,260,11,151,0,327,255,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NEG_M_R,Shrubland,0,3,20,16,4,1,0,17,23,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NEG_M_R,Bareland,0,7,17,0,5,0,0,14,37,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NEG_M_R,Forest,0,131,647,156,42,0,1,356,214,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NEG_M_R,Grassland,0,54,324,117,15,2,0,0,185,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NEG_M_R,Built-up,0,14,90,70,0,2,0,25,29,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NEG_M_R,Cropland,0,33,135,81,1,0,0,76,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NEG_M_R,Permanent_ice_and_snow,0,2,9,10,0,0,0,3,11,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NEG_M_R,Non_Wetland,0,0,4,1,0,1,0,6,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NEG_M_R,Wetland,0,797,0,301,34,882,0,1360,451,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NEG_M_R,Bareland,0,2,32,0,3,21,0,114,6,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NEG_M_R,Water,0,0,1196,244,17,407,0,673,126,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NEG_M_R,Shrubland,0,2,12,8,5,20,0,37,2,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NEG_M_R,Grassland,0,43,189,17,8,106,0,0,60,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NEG_M_R,Built-up,0,0,11,40,0,84,0,165,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NEG_M_R,Forest,0,115,306,24,14,0,0,447,53,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NEG_M_R,Cropland,0,25,152,22,2,77,0,200,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NEG_M_R,Permanent_ice_and_snow,0,0,1,2,1,6,0,30,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NEG_M_R,Wetland,0,1663,0,0,0,0,0,0,0,912,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NEG_M_R,Bareland,0,29,0,0,0,0,0,0,0,2,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NEG_M_R,Shrubland,0,4,0,0,0,0,0,0,0,2,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NEG_M_R,Grassland,0,154,0,0,0,0,0,0,0,49,0
