Dataset,MajorityClass,Forest,Built-up,Bareland,Water,Wetland,Grassland,Non_Wetland,Cropland,Shrubland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22MEB_M_R,Grassland,210,32,37,14,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MEB_M_R,Non_Wetland,4,0,0,1,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MEB_M_R,Cropland,25,0,0,0,0,16,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MEB_M_R,Bareland,24,5,0,0,0,37,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MEB_M_R,Water,424,2,96,0,66,152,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MEB_M_R,Forest,0,12,20,87,13,223,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MEB_M_R,Shrubland,10,2,2,0,0,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MEB_M_R,Wetland,112,1,18,26,0,76,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MEB_M_R,Built-up,42,0,5,0,0,28,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEB_M_R,Non_Wetland,1,0,0,0,3,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEB_M_R,Grassland,68,8,47,22,44,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEB_M_R,Cropland,2,0,0,0,1,28,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEB_M_R,Bareland,7,0,0,2,1,47,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEB_M_R,Water,131,0,9,0,199,291,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEB_M_R,Forest,0,3,44,183,290,417,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEB_M_R,Shrubland,3,0,2,0,4,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEB_M_R,Wetland,29,0,0,46,0,92,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MEB_M_R,Built-up,5,0,23,3,3,25,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MEB_M_R,Grassland,0,0,0,12,46,0,172,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MEB_M_R,Wetland,0,0,0,1,0,0,35,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MEB_M_R,Forest,0,0,0,59,161,0,480,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MEB_M_R,Water,0,0,0,0,199,0,271,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MEB_M_R,Shrubland,0,0,0,0,0,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MEB_M_R,Bareland,0,0,0,0,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MEB_M_R,Built-up,0,0,0,1,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MEB_M_R,Cropland,0,0,0,0,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEB_M_R,Non_Wetland,0,0,0,1,4,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEB_M_R,Forest,0,1,203,134,292,300,0,3,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEB_M_R,Grassland,38,7,170,30,129,0,0,6,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEB_M_R,Water,57,0,58,0,271,83,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEB_M_R,Shrubland,0,0,8,4,4,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEB_M_R,Cropland,1,0,22,1,4,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEB_M_R,Wetland,8,0,22,38,0,25,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEB_M_R,Bareland,0,0,0,0,3,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MEB_M_R,Built-up,2,0,46,0,1,20,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MEB_M_R,Grassland,0,0,0,48,0,0,0,0,0,10,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MEB_M_R,Wetland,0,0,0,44,0,0,0,0,0,32,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MEB_M_R,Forest,0,0,0,188,0,0,0,0,0,82,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MEB_M_R,Water,0,0,0,0,0,0,0,0,0,139,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MEB_M_R,Bareland,0,0,0,1,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MEB_M_R,Grassland,87,33,40,12,46,0,0,9,138,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MEB_M_R,Forest,0,65,118,59,161,218,0,14,178,0,6,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MEB_M_R,Wetland,4,0,0,1,0,1,0,0,11,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MEB_M_R,Bareland,9,16,0,0,0,18,0,0,29,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MEB_M_R,Water,122,28,96,0,199,99,0,1,118,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MEB_M_R,Cropland,6,1,1,0,0,8,0,0,12,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MEB_M_R,Built-up,4,0,1,1,0,22,0,0,24,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MEB_M_R,Grassland,72,65,2,66,3,0,0,120,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MEB_M_R,Forest,0,51,1,321,23,0,0,65,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MEB_M_R,Bareland,2,12,0,4,0,0,0,14,0,0,0,0
