Dataset,MajorityClass,Shrubland,Wetland,Bareland,Forest,Grassland,Water,Built-up,Cropland,Non_Wetland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LLN_M_R,Grassland,23,37,25,35,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LLN_M_R,Non_Wetland,1,1,0,2,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LLN_M_R,Forest,56,188,71,0,123,75,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LLN_M_R,Shrubland,0,1,5,7,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LLN_M_R,Cropland,1,2,4,2,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LLN_M_R,Wetland,4,0,0,22,14,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LLN_M_R,Bareland,0,8,0,8,2,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LLN_M_R,Built-up,2,0,2,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LLN_M_R,Water,0,110,1,103,45,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LLN_M_R,Permanent_ice_and_snow,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LLN_M_R,Grassland,0,1,1,33,0,0,1,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LLN_M_R,Non_Wetland,0,0,0,2,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LLN_M_R,Wetland,0,0,4,58,43,16,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LLN_M_R,Bareland,0,0,0,5,4,4,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LLN_M_R,Shrubland,0,1,0,7,17,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LLN_M_R,Cropland,0,0,0,2,7,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LLN_M_R,Built-up,0,0,0,1,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LLN_M_R,Forest,0,15,6,0,153,35,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LLN_M_R,Water,0,10,13,169,77,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LLN_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LLN_M_R,Grassland,0,9,0,0,0,1,0,0,79,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LLN_M_R,Wetland,0,0,0,0,0,1,0,0,34,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LLN_M_R,Forest,0,133,0,0,0,43,0,0,302,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LLN_M_R,Shrubland,0,0,0,0,0,0,0,0,10,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LLN_M_R,Cropland,0,0,0,0,0,0,0,0,5,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LLN_M_R,Bareland,0,1,0,0,0,0,0,0,13,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LLN_M_R,Built-up,0,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LLN_M_R,Water,0,97,0,0,0,0,0,0,107,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LLN_M_R,Non_Wetland,0,4,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LLN_M_R,Forest,66,210,23,0,247,88,0,17,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LLN_M_R,Grassland,15,40,19,0,0,1,0,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LLN_M_R,Shrubland,0,9,3,0,8,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LLN_M_R,Wetland,3,0,2,0,25,7,0,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LLN_M_R,Cropland,2,3,2,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LLN_M_R,Bareland,0,8,0,0,11,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LLN_M_R,Built-up,1,1,3,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LLN_M_R,Water,1,128,12,14,77,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LLN_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LLN_M_R,Grassland,48,9,7,33,0,1,6,39,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LLN_M_R,Wetland,10,0,2,8,7,1,0,2,0,0,0,0
