Dataset,MajorityClass,Wetland,Grassland,Water,Forest,Bareland,Built-up,Shrubland,Cropland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPJ_M_R,Non_Wetland,4,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPJ_M_R,Grassland,370,0,192,201,31,32,20,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPJ_M_R,Cropland,60,184,8,77,1,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPJ_M_R,Forest,590,580,317,0,22,38,28,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPJ_M_R,Shrubland,35,39,17,25,4,8,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPJ_M_R,Wetland,0,607,397,210,0,1,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPJ_M_R,Bareland,90,188,62,19,0,16,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPJ_M_R,Water,703,794,0,439,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPJ_M_R,Built-up,7,52,3,18,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NPJ_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NPJ_M_R,Non_Wetland,0,0,1,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NPJ_M_R,Grassland,198,0,88,383,60,26,0,47,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NPJ_M_R,Cropland,16,183,7,120,10,8,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NPJ_M_R,Wetland,0,568,247,391,36,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NPJ_M_R,Water,641,794,0,760,174,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NPJ_M_R,Shrubland,10,42,8,38,13,6,0,2,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NPJ_M_R,Bareland,15,173,17,71,0,7,0,12,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NPJ_M_R,Built-up,0,75,0,65,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NPJ_M_R,Forest,152,432,167,0,22,9,0,8,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NPJ_M_R,Permanent_ice_and_snow,0,0,0,1,0,0,0,0,0,0,0
