Dataset,MajorityClass,Forest,Grassland,Wetland,Bareland,Built-up,Cropland,Water,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20NQJ_M_R,Water,1201,1491,1009,303,14,33,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQJ_M_R,Grassland,480,0,339,104,69,133,86,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQJ_M_R,Non_Wetland,3,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQJ_M_R,Cropland,244,613,180,54,32,0,23,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQJ_M_R,Wetland,973,1380,0,75,26,27,374,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQJ_M_R,Non_Water,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQJ_M_R,Shrubland,51,54,19,23,14,14,12,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQJ_M_R,Bareland,263,614,93,0,63,66,76,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQJ_M_R,Built-up,238,375,56,85,0,12,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQJ_M_R,Forest,0,729,165,16,35,37,94,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQJ_M_R,Permanent_ice_and_snow,4,7,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQJ_M_R,Non_Wetland,1,1,1,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQJ_M_R,Forest,0,916,624,449,52,238,368,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQJ_M_R,Grassland,92,0,584,418,56,392,395,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQJ_M_R,Shrubland,10,45,41,39,5,41,24,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQJ_M_R,Wetland,136,913,0,295,0,118,1241,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQJ_M_R,Bareland,6,277,153,0,55,213,233,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQJ_M_R,Built-up,13,247,114,219,0,70,62,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQJ_M_R,Water,185,793,929,398,9,101,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQJ_M_R,Cropland,18,287,235,190,6,0,159,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQJ_M_R,Permanent_ice_and_snow,0,1,3,2,0,1,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQJ_M_R,Non_Wetland,0,0,3,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQJ_M_R,Grassland,308,0,732,106,144,0,238,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQJ_M_R,Cropland,164,543,468,49,60,0,52,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQJ_M_R,Forest,0,819,1076,115,114,0,426,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQJ_M_R,Non_Water,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQJ_M_R,Shrubland,28,56,58,12,22,0,21,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQJ_M_R,Wetland,361,1170,0,6,68,0,860,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQJ_M_R,Bareland,69,434,462,0,146,0,281,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQJ_M_R,Built-up,37,176,114,79,0,0,38,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQJ_M_R,Water,358,1111,1320,50,112,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQJ_M_R,Permanent_ice_and_snow,0,1,8,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQJ_M_R,Wetland,0,0,0,0,0,0,186,2526,0,0,0
