Dataset,MajorityClass,Grassland,Bareland,Built-up,Wetland,Water,Permanent_ice_and_snow,Forest,Cropland,Non_Water,Non_Wetland,Shrubland,Lichens_and_Mosses
AMAZON_EXTENSION_2024_WorldCover_2021_19KES_M_R,Shrubland,1,2,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KES_M_R,Grassland,0,3,0,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KES_M_R,Cropland,17,10,0,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KES_M_R,Wetland,24,19,1,0,10,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KES_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KES_M_R,Bareland,44,0,19,5,35,2,1,4,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KES_M_R,Built-up,5,5,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KES_M_R,Forest,22,8,0,6,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KES_M_R,Water,38,59,4,3,0,4,0,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KES_M_R,Permanent_ice_and_snow,2,11,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KES_M_R,Shrubland,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KES_M_R,Bareland,0,0,0,0,56,0,0,0,19,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KES_M_R,Grassland,0,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KES_M_R,Cropland,0,0,0,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KES_M_R,Wetland,0,0,0,0,14,0,0,0,5,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KES_M_R,Water,0,0,0,0,0,0,0,0,20,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KES_M_R,Permanent_ice_and_snow,0,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KES_M_R,Forest,0,0,0,0,4,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KES_M_R,Bareland,0,0,0,29,10,0,0,0,0,8,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KES_M_R,Built-up,0,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KES_M_R,Grassland,0,0,0,2,0,0,0,0,0,3,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KES_M_R,Cropland,0,0,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KES_M_R,Wetland,0,0,0,0,0,0,0,0,0,14,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KES_M_R,Water,0,0,0,30,0,0,0,0,0,4,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KES_M_R,Permanent_ice_and_snow,0,0,0,2,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KES_M_R,Forest,0,0,0,0,0,0,0,0,0,6,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KES_M_R,Bareland,9,0,24,29,10,4,12,11,0,0,40,19
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KES_M_R,Built-up,1,3,0,2,0,0,0,0,0,0,4,1
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KES_M_R,Grassland,0,5,1,2,0,0,1,4,0,0,5,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KES_M_R,Cropland,2,7,4,0,0,0,3,0,0,0,8,3
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KES_M_R,Wetland,0,2,1,0,0,0,0,1,0,0,4,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KES_M_R,Water,1,17,18,30,0,1,2,1,0,0,30,12
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KES_M_R,Permanent_ice_and_snow,0,3,1,2,1,0,0,0,0,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KES_M_R,Forest,0,6,2,0,0,0,0,7,0,0,9,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KES_M_R,Grassland,0,6,1,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KES_M_R,Built-up,0,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KES_M_R,Wetland,0,9,1,0,7,5,0,0,0,0,0,0
