Dataset,MajorityClass,Forest,Cropland,Wetland,Bareland,Built-up,Water,Grassland,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20NQK_M_R,Grassland,255,19,137,47,30,10,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQK_M_R,Wetland,512,2,0,30,24,113,770,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQK_M_R,Non_Wetland,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQK_M_R,Water,715,0,399,204,3,0,577,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQK_M_R,Shrubland,61,5,13,18,13,4,69,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQK_M_R,Bareland,70,5,15,0,11,14,177,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQK_M_R,Built-up,84,1,1,22,0,1,111,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQK_M_R,Forest,0,0,28,17,32,39,293,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQK_M_R,Cropland,41,0,31,3,3,2,128,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQK_M_R,Permanent_ice_and_snow,1,0,0,3,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQK_M_R,Grassland,60,0,363,79,41,110,0,31,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQK_M_R,Non_Wetland,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQK_M_R,Shrubland,16,0,52,19,9,17,55,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQK_M_R,Cropland,17,0,67,15,10,14,107,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQK_M_R,Wetland,31,0,0,12,2,415,725,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQK_M_R,Bareland,16,0,138,0,27,86,141,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQK_M_R,Built-up,13,0,23,43,0,4,60,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQK_M_R,Water,67,0,658,15,21,0,588,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQK_M_R,Forest,0,0,521,112,48,173,493,87,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20NQK_M_R,Permanent_ice_and_snow,0,0,4,0,0,2,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQK_M_R,Grassland,0,0,76,0,0,25,0,0,878,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQK_M_R,Wetland,0,0,0,0,0,81,0,0,1346,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQK_M_R,Shrubland,0,0,0,0,0,0,0,0,106,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQK_M_R,Cropland,0,0,6,0,0,0,0,0,122,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQK_M_R,Water,0,0,366,0,0,0,0,0,810,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQK_M_R,Forest,0,0,123,0,0,65,0,0,826,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQK_M_R,Bareland,0,0,28,0,0,15,0,0,193,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQK_M_R,Built-up,0,0,0,0,0,3,0,0,39,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQK_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,4,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQK_M_R,Forest,0,129,409,134,33,192,462,52,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQK_M_R,Grassland,33,204,321,107,35,153,0,11,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQK_M_R,Non_Wetland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQK_M_R,Shrubland,7,41,41,32,9,24,50,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQK_M_R,Wetland,65,81,0,33,0,705,418,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQK_M_R,Built-up,2,33,15,44,0,4,88,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQK_M_R,Water,86,59,448,31,18,0,404,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQK_M_R,Bareland,1,67,44,0,21,60,102,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQK_M_R,Cropland,0,0,43,21,3,38,40,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20NQK_M_R,Permanent_ice_and_snow,0,2,0,1,3,2,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQK_M_R,Grassland,211,61,76,13,96,25,0,694,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQK_M_R,Wetland,254,55,0,0,34,81,238,763,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQK_M_R,Built-up,29,9,0,1,0,3,21,102,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQK_M_R,Water,245,10,366,0,80,0,176,911,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQK_M_R,Forest,0,27,123,0,74,65,220,555,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQK_M_R,Cropland,19,0,6,0,4,0,29,186,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQK_M_R,Bareland,31,5,28,0,58,15,85,301,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQK_M_R,Shrubland,1,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQK_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,8,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQK_M_R,Shrubland,0,0,0,0,0,25,0,0,0,6,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQK_M_R,Grassland,0,0,0,0,0,279,0,0,0,55,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQK_M_R,Water,0,0,0,0,0,0,0,0,0,333,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQK_M_R,Wetland,0,0,0,0,0,850,0,0,0,233,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQK_M_R,Bareland,0,0,0,0,0,105,0,0,0,13,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQK_M_R,Built-up,0,0,0,0,0,7,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQK_M_R,Forest,0,0,0,0,0,210,0,0,0,70,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQK_M_R,Cropland,0,0,0,0,0,28,0,0,0,5,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQK_M_R,Grassland,103,167,176,16,86,101,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQK_M_R,Forest,0,35,65,1,120,171,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQK_M_R,Wetland,93,218,0,8,3,156,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQK_M_R,Bareland,10,19,5,0,30,51,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQK_M_R,Built-up,0,5,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQK_M_R,Water,56,115,240,39,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20NQK_M_R,Shrubland,5,0,0,0,4,0,0,0,0,0,0
