Dataset,MajorityClass,Forest,Cropland,Wetland,Built-up,Bareland,Water,Grassland,Non_Wetland,Shrubland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20LMM_M_R,Grassland,361,71,285,110,76,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LMM_M_R,Non_Wetland,8,0,5,0,0,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LMM_M_R,Shrubland,34,1,76,8,0,0,89,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LMM_M_R,Cropland,175,0,37,50,20,0,293,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LMM_M_R,Wetland,604,6,0,2,13,144,755,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LMM_M_R,Bareland,65,11,34,36,0,8,165,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LMM_M_R,Built-up,78,4,1,0,12,0,136,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LMM_M_R,Water,550,0,357,5,122,0,486,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LMM_M_R,Forest,0,19,328,53,19,51,518,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LMM_M_R,Permanent_ice_and_snow,3,0,2,0,1,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMM_M_R,Wetland,0,0,0,0,0,82,0,1064,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMM_M_R,Shrubland,0,0,0,0,0,0,0,118,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMM_M_R,Grassland,0,0,120,0,0,61,0,918,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMM_M_R,Forest,0,0,294,0,0,94,0,1188,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMM_M_R,Bareland,0,0,41,0,0,1,0,73,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMM_M_R,Water,0,0,453,0,0,0,0,371,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMM_M_R,Cropland,0,0,3,0,0,2,0,158,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMM_M_R,Built-up,0,0,3,0,0,1,0,26,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMM_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMM_M_R,Non_Wetland,4,0,6,0,2,0,4,0,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMM_M_R,Shrubland,9,0,31,1,17,2,41,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMM_M_R,Grassland,140,0,333,28,179,49,0,0,170,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMM_M_R,Cropland,63,0,62,15,75,2,335,0,40,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMM_M_R,Wetland,88,0,0,1,19,243,398,0,181,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMM_M_R,Bareland,12,0,40,0,0,18,108,0,16,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMM_M_R,Built-up,12,0,5,0,77,3,63,0,11,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMM_M_R,Forest,0,0,570,19,164,95,644,0,199,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMM_M_R,Water,92,0,388,5,32,0,408,0,48,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMM_M_R,Permanent_ice_and_snow,0,0,2,0,0,0,3,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMM_M_R,Grassland,46,99,383,49,348,51,0,0,273,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMM_M_R,Non_Wetland,0,0,10,0,3,0,3,0,4,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMM_M_R,Wetland,58,36,0,0,220,428,435,0,289,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMM_M_R,Forest,0,56,562,22,284,195,535,0,367,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMM_M_R,Shrubland,0,3,25,1,23,2,22,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMM_M_R,Water,71,9,446,9,137,0,234,0,44,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMM_M_R,Built-up,2,11,20,0,84,0,72,0,6,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMM_M_R,Cropland,14,0,69,22,187,5,202,0,54,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMM_M_R,Bareland,0,13,21,1,0,26,49,0,14,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMM_M_R,Permanent_ice_and_snow,0,1,1,0,3,2,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LMM_M_R,Wetland,0,0,0,0,0,610,0,0,0,270,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LMM_M_R,Grassland,0,0,0,0,0,114,0,0,0,29,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LMM_M_R,Shrubland,0,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LMM_M_R,Cropland,0,0,0,0,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LMM_M_R,Bareland,0,0,0,0,0,34,0,0,0,14,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LMM_M_R,Water,0,0,0,0,0,0,0,0,0,280,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LMM_M_R,Forest,0,0,0,0,0,145,0,0,0,89,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LMM_M_R,Built-up,0,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LMM_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LMM_M_R,Grassland,341,317,120,134,93,61,0,0,351,0,24,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LMM_M_R,Wetland,295,83,0,2,117,82,203,0,215,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LMM_M_R,Forest,0,221,294,37,163,94,259,0,281,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LMM_M_R,Bareland,33,65,41,44,0,1,59,0,75,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LMM_M_R,Built-up,20,51,3,0,4,1,47,0,50,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LMM_M_R,Water,224,93,453,13,74,0,101,0,151,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LMM_M_R,Shrubland,12,11,0,0,3,0,8,0,0,0,0,0
