Dataset,MajorityClass,Grassland,Bareland,Built-up,Forest,Water,Non_Water,Shrubland,Wetland,Cropland,Non_Wetland
AMAZON_EXTENSION_2024_WorldCover_2021_18MUC_M_R,Shrubland,3,2,2,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MUC_M_R,Grassland,0,1,3,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MUC_M_R,Cropland,13,3,4,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MUC_M_R,Wetland,4,1,0,5,10,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MUC_M_R,Bareland,18,0,4,12,13,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MUC_M_R,Built-up,10,6,0,8,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MUC_M_R,Water,29,13,0,27,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MUC_M_R,Forest,55,22,15,0,25,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUC_M_R,Shrubland,0,0,0,0,1,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUC_M_R,Cropland,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUC_M_R,Wetland,0,0,0,0,9,2,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUC_M_R,Water,0,0,0,0,0,56,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUC_M_R,Forest,0,0,0,0,36,30,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUC_M_R,Bareland,0,0,0,0,15,9,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUC_M_R,Built-up,0,0,0,0,1,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUC_M_R,Water,6,9,3,27,0,0,24,25,12,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUC_M_R,Cropland,0,1,0,4,0,0,8,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUC_M_R,Bareland,5,0,0,12,7,0,19,6,7,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUC_M_R,Built-up,4,4,0,4,0,0,10,0,8,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUC_M_R,Forest,16,19,10,0,8,0,42,22,30,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MUC_M_R,Grassland,0,0,0,6,0,0,6,1,2,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MUC_M_R,Water,0,18,5,22,0,0,0,0,1,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MUC_M_R,Forest,0,5,20,0,31,0,0,1,9,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MUC_M_R,Wetland,0,4,1,1,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MUC_M_R,Grassland,0,1,6,5,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MUC_M_R,Bareland,0,0,4,3,8,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MUC_M_R,Cropland,0,0,2,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MUC_M_R,Water,0,0,0,0,0,0,0,25,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MUC_M_R,Forest,0,0,0,0,8,0,0,22,0,1
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MUC_M_R,Grassland,0,0,0,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MUC_M_R,Bareland,0,0,0,0,7,0,0,6,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MUC_M_R,Wetland,1,2,0,11,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MUC_M_R,Forest,5,8,0,0,8,0,0,0,7,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MUC_M_R,Water,0,22,0,40,0,0,0,1,1,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MUC_M_R,Grassland,0,1,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MUC_M_R,Built-up,0,1,0,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MUC_M_R,Bareland,0,0,0,4,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MUC_M_R,Cropland,0,0,0,1,0,0,0,0,0,0
