Dataset,MajorityClass,Forest,Wetland,Built-up,Bareland,Water,Grassland,Non_Wetland,Cropland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21MXU_M_R,Grassland,295,31,73,14,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MXU_M_R,Non_Wetland,9,0,0,0,0,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MXU_M_R,Forest,0,32,61,29,83,584,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MXU_M_R,Wetland,740,0,2,75,176,1004,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MXU_M_R,Bareland,111,2,26,0,6,220,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MXU_M_R,Built-up,151,3,0,39,8,217,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MXU_M_R,Water,632,329,2,112,0,679,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MXU_M_R,Shrubland,25,2,5,2,1,27,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MXU_M_R,Cropland,65,0,21,2,0,73,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MXU_M_R,Lichens_and_Mosses,1,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MXU_M_R,Permanent_ice_and_snow,0,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXU_M_R,Non_Wetland,2,10,0,3,3,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXU_M_R,Grassland,117,313,34,187,68,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXU_M_R,Wetland,104,0,5,108,543,308,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXU_M_R,Bareland,32,43,10,0,76,79,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXU_M_R,Built-up,36,50,0,106,28,82,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXU_M_R,Forest,0,649,50,274,330,528,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXU_M_R,Water,192,636,17,84,0,229,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXU_M_R,Shrubland,9,17,2,13,8,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXU_M_R,Cropland,36,28,2,27,0,53,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXU_M_R,Lichens_and_Mosses,0,0,0,1,0,0,0,0,0,0,0,0
