Dataset,MajorityClass,Non_Wetland,Wetland,Water,Bareland,Forest,Built-up,Shrubland,Grassland,Cropland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NCF_M_R,Grassland,169,20,5,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NCF_M_R,Wetland,64,0,4,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NCF_M_R,Shrubland,31,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NCF_M_R,Bareland,93,23,26,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NCF_M_R,Forest,617,146,51,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NCF_M_R,Water,189,187,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NCF_M_R,Built-up,50,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NCF_M_R,Cropland,16,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22NCF_M_R,Permanent_ice_and_snow,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NCF_M_R,Grassland,0,78,13,72,28,10,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NCF_M_R,Non_Wetland,0,2,0,2,1,0,0,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NCF_M_R,Bareland,0,16,0,0,25,0,0,18,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NCF_M_R,Water,0,193,0,271,65,1,0,89,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NCF_M_R,Forest,0,363,93,317,0,39,2,226,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NCF_M_R,Shrubland,0,11,4,13,9,4,0,11,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NCF_M_R,Wetland,0,0,33,97,15,1,0,53,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NCF_M_R,Built-up,0,14,0,51,9,0,0,20,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NCF_M_R,Cropland,0,6,0,9,3,0,0,7,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22NCF_M_R,Permanent_ice_and_snow,0,1,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NCF_M_R,Non_Wetland,0,5,0,1,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NCF_M_R,Grassland,0,111,16,85,7,13,0,0,15,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NCF_M_R,Shrubland,0,20,9,13,0,3,0,6,3,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NCF_M_R,Bareland,0,42,6,0,0,0,0,10,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NCF_M_R,Forest,0,348,125,283,0,40,0,200,37,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NCF_M_R,Water,0,226,0,269,22,6,0,17,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NCF_M_R,Wetland,0,0,44,67,6,0,0,15,1,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NCF_M_R,Built-up,0,36,0,39,2,0,0,19,2,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NCF_M_R,Cropland,0,10,0,7,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22NCF_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NCF_M_R,Non_Wetland,0,0,0,0,3,1,0,3,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NCF_M_R,Grassland,0,0,1,1,66,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NCF_M_R,Wetland,0,0,32,28,139,2,0,162,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NCF_M_R,Bareland,0,1,43,0,89,8,0,121,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NCF_M_R,Water,0,15,0,108,263,1,0,205,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NCF_M_R,Shrubland,0,0,1,4,23,6,0,24,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NCF_M_R,Built-up,0,0,0,8,56,0,0,75,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NCF_M_R,Forest,0,0,63,30,0,28,0,313,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NCF_M_R,Cropland,0,0,0,0,12,0,0,13,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22NCF_M_R,Permanent_ice_and_snow,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NCF_M_R,Bareland,0,0,41,0,0,0,0,0,0,18,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NCF_M_R,Shrubland,0,0,0,0,0,0,0,0,0,2,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NCF_M_R,Water,0,0,0,0,0,0,0,0,0,221,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NCF_M_R,Grassland,0,0,15,0,0,0,0,0,0,9,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NCF_M_R,Wetland,0,0,26,0,0,0,0,0,0,68,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NCF_M_R,Built-up,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22NCF_M_R,Forest,0,0,78,0,0,0,0,0,0,72,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NCF_M_R,Grassland,0,20,5,1,96,8,203,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NCF_M_R,Bareland,0,23,26,0,85,72,182,17,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NCF_M_R,Forest,0,146,51,26,0,52,387,79,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NCF_M_R,Wetland,0,0,4,0,16,0,43,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NCF_M_R,Built-up,0,1,0,0,29,0,76,11,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NCF_M_R,Water,0,187,0,19,182,21,174,7,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NCF_M_R,Cropland,0,0,0,0,4,0,19,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22NCF_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NCF_M_R,Bareland,0,38,63,0,32,45,0,0,12,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NCF_M_R,Grassland,0,3,20,0,71,46,0,0,14,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NCF_M_R,Wetland,0,0,104,0,34,11,0,0,2,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NCF_M_R,Forest,0,65,248,4,0,118,0,0,17,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NCF_M_R,Water,0,23,0,13,8,3,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NCF_M_R,Built-up,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22NCF_M_R,Cropland,0,0,1,0,1,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NCF_M_R,Bareland,0,3,49,0,70,0,0,28,26,0,5
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NCF_M_R,Wetland,0,0,66,6,162,0,0,46,5,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NCF_M_R,Forest,0,0,39,50,0,0,0,41,46,0,14
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NCF_M_R,Water,0,2,0,33,214,0,0,16,1,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NCF_M_R,Grassland,0,0,9,18,77,0,0,0,20,0,7
AMAZON_EXTENSION_2024_DynamicWorld_2024_22NCF_M_R,Built-up,0,0,1,9,34,0,0,0,6,0,0
