Dataset,MajorityClass,Forest,Bareland,Built-up,Wetland,Water,Cropland,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21MYT_M_R,Grassland,526,53,101,72,11,21,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYT_M_R,Non_Wetland,9,0,0,4,0,0,13,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYT_M_R,Cropland,241,22,42,1,3,0,292,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYT_M_R,Wetland,973,53,13,0,430,36,1666,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYT_M_R,Bareland,448,0,51,34,172,0,525,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYT_M_R,Built-up,276,78,0,18,48,4,392,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYT_M_R,Water,632,117,9,482,0,11,901,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYT_M_R,Non_Water,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYT_M_R,Shrubland,33,9,8,7,2,0,51,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYT_M_R,Forest,0,45,112,31,53,1,775,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYT_M_R,Lichens_and_Mosses,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MYT_M_R,Permanent_ice_and_snow,2,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYT_M_R,Non_Wetland,1,5,1,11,5,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYT_M_R,Grassland,156,224,128,560,173,0,0,25,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYT_M_R,Cropland,84,33,29,103,9,0,157,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYT_M_R,Wetland,115,167,57,0,912,0,408,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYT_M_R,Bareland,111,0,163,333,340,0,194,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYT_M_R,Built-up,60,152,0,126,51,0,122,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYT_M_R,Forest,0,313,161,740,378,0,605,25,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYT_M_R,Non_Water,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYT_M_R,Water,120,105,128,840,0,0,194,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYT_M_R,Shrubland,8,15,16,20,12,0,11,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYT_M_R,Lichens_and_Mosses,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MYT_M_R,Permanent_ice_and_snow,0,0,0,3,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYT_M_R,Wetland,0,0,0,0,139,0,0,0,1239,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYT_M_R,Grassland,0,0,0,153,35,0,0,0,1126,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYT_M_R,Forest,0,0,0,296,92,0,0,0,1343,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYT_M_R,Bareland,0,0,0,193,64,0,0,0,436,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYT_M_R,Water,0,0,0,669,0,0,0,0,850,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYT_M_R,Shrubland,0,0,0,0,0,0,0,0,52,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYT_M_R,Built-up,0,0,0,55,25,0,0,0,258,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYT_M_R,Cropland,0,0,0,20,4,0,0,0,163,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MYT_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYT_M_R,Wetland,35,462,26,0,587,341,522,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYT_M_R,Non_Wetland,0,4,0,11,4,4,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYT_M_R,Forest,0,650,143,820,53,251,736,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYT_M_R,Grassland,64,422,120,535,50,309,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYT_M_R,Water,14,515,52,1014,0,197,181,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYT_M_R,Non_Water,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYT_M_R,Shrubland,1,28,7,25,2,20,25,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYT_M_R,Built-up,6,286,0,128,22,68,153,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYT_M_R,Lichens_and_Mosses,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYT_M_R,Bareland,2,0,46,133,72,142,70,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYT_M_R,Cropland,10,135,28,68,0,0,81,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21MYT_M_R,Permanent_ice_and_snow,0,3,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYT_M_R,Grassland,0,0,0,0,344,0,0,0,0,53,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYT_M_R,Wetland,0,0,0,0,1374,0,0,0,0,543,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYT_M_R,Bareland,0,0,0,0,392,0,0,0,0,69,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYT_M_R,Shrubland,0,0,0,0,20,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYT_M_R,Built-up,0,0,0,0,129,0,0,0,0,20,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYT_M_R,Water,0,0,0,0,0,0,0,0,0,380,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYT_M_R,Forest,0,0,0,0,427,0,0,0,0,100,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYT_M_R,Cropland,0,0,0,0,23,0,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21MYT_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21MYT_M_R,Wetland,114,251,74,0,139,1,247,315,0,0,3,0
