Dataset,MajorityClass,Forest,Bareland,Built-up,Water,Grassland,Wetland,Cropland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21MVP_M_R,Grassland,141,18,30,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVP_M_R,Non_Wetland,6,0,0,0,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVP_M_R,Bareland,405,0,16,155,531,2,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVP_M_R,Shrubland,14,0,4,0,27,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVP_M_R,Wetland,202,24,0,68,192,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVP_M_R,Built-up,83,20,0,1,149,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVP_M_R,Water,459,98,3,0,316,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVP_M_R,Cropland,33,2,6,0,35,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVP_M_R,Lichens_and_Mosses,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVP_M_R,Forest,0,52,32,143,407,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVP_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVP_M_R,Non_Wetland,1,2,0,0,1,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVP_M_R,Shrubland,4,15,2,2,15,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVP_M_R,Grassland,35,154,31,22,0,45,0,9,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVP_M_R,Bareland,27,0,3,72,100,55,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVP_M_R,Built-up,7,81,0,3,38,15,0,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVP_M_R,Forest,0,675,70,217,424,367,0,12,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVP_M_R,Water,102,546,7,0,168,207,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVP_M_R,Cropland,5,19,12,1,35,3,0,0,0,0,0,0
