Dataset,MajorityClass,Forest,Wetland,Built-up,Bareland,Grassland,Cropland,Water,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22MDD_M_R,Grassland,117,84,2,5,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDD_M_R,Non_Wetland,3,2,0,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDD_M_R,Wetland,306,0,9,15,286,4,82,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDD_M_R,Bareland,31,4,4,0,23,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDD_M_R,Water,354,231,2,30,131,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDD_M_R,Shrubland,10,6,0,1,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDD_M_R,Cropland,5,2,1,3,15,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDD_M_R,Built-up,69,0,0,19,59,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MDD_M_R,Forest,0,119,11,10,272,0,115,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDD_M_R,Non_Wetland,2,3,0,1,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDD_M_R,Grassland,77,126,22,38,0,0,29,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDD_M_R,Wetland,99,0,3,30,102,0,300,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDD_M_R,Bareland,5,12,3,0,28,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDD_M_R,Forest,0,449,9,88,203,0,266,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDD_M_R,Shrubland,4,4,2,1,5,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDD_M_R,Cropland,3,6,11,0,4,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDD_M_R,Built-up,13,16,0,35,11,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MDD_M_R,Water,190,306,8,17,20,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDD_M_R,Grassland,0,54,0,0,0,0,0,237,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDD_M_R,Wetland,0,0,0,0,0,0,33,222,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDD_M_R,Forest,0,298,0,0,0,0,70,653,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDD_M_R,Water,0,283,0,0,0,0,0,306,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDD_M_R,Shrubland,0,0,0,0,0,0,0,14,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDD_M_R,Cropland,0,0,0,0,0,0,0,13,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDD_M_R,Bareland,0,1,0,0,0,0,0,18,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22MDD_M_R,Built-up,0,19,0,0,0,0,0,21,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDD_M_R,Wetland,40,0,3,113,310,0,82,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDD_M_R,Non_Wetland,0,4,0,2,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDD_M_R,Forest,0,324,1,217,350,2,80,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDD_M_R,Grassland,11,84,3,84,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDD_M_R,Water,106,341,9,70,144,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDD_M_R,Shrubland,0,4,0,10,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDD_M_R,Bareland,0,3,0,0,11,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDD_M_R,Built-up,4,5,0,65,34,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MDD_M_R,Cropland,0,5,0,16,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MDD_M_R,Wetland,0,0,0,0,0,0,225,0,181,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MDD_M_R,Built-up,0,0,0,0,0,0,23,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MDD_M_R,Bareland,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MDD_M_R,Forest,0,0,0,0,0,0,151,0,125,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MDD_M_R,Grassland,0,0,0,0,0,0,14,0,13,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22MDD_M_R,Water,0,0,0,0,0,0,0,0,224,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDD_M_R,Grassland,42,54,26,31,0,1,0,0,0,93,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDD_M_R,Wetland,24,0,4,31,26,0,33,0,0,64,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDD_M_R,Forest,0,298,81,156,213,19,70,0,0,199,6,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDD_M_R,Bareland,4,1,14,0,11,0,0,0,0,32,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDD_M_R,Cropland,1,0,4,1,0,0,0,0,0,16,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDD_M_R,Built-up,9,19,0,1,29,0,0,0,0,39,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22MDD_M_R,Water,91,283,42,78,52,1,0,0,0,111,5,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDD_M_R,Grassland,114,4,64,1,0,35,29,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDD_M_R,Bareland,10,0,14,0,0,3,8,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDD_M_R,Built-up,0,0,0,0,0,10,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22MDD_M_R,Wetland,291,0,52,5,0,23,245,0,0,0,0,0
