Dataset,MajorityClass,Non_Wetland,Water,Wetland,Grassland,Forest,Bareland,Built-up,Shrubland,Cropland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNF_M_R,Wetland,467,107,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNF_M_R,Shrubland,19,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNF_M_R,Grassland,126,1,11,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNF_M_R,Forest,520,60,157,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNF_M_R,Water,303,0,357,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNF_M_R,Bareland,55,0,13,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNF_M_R,Built-up,48,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNF_M_R,Cropland,2,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NNF_M_R,Permanent_ice_and_snow,6,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NNF_M_R,Wetland,0,136,0,517,440,85,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NNF_M_R,Grassland,0,0,7,0,22,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NNF_M_R,Shrubland,0,0,0,7,7,4,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NNF_M_R,Water,0,0,403,384,456,87,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NNF_M_R,Bareland,0,8,7,17,9,0,0,0,0,0,0,0
