Dataset,MajorityClass,Grassland,Forest,Cropland,Wetland,Built-up,Bareland,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22KFU_M_R,Shrubland,133,51,30,4,11,1,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFU_M_R,Grassland,0,269,197,15,60,29,21,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFU_M_R,Non_Wetland,10,7,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFU_M_R,Bareland,143,52,16,0,27,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFU_M_R,Built-up,337,230,118,0,0,112,34,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFU_M_R,Forest,1366,0,380,158,262,161,278,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFU_M_R,Cropland,847,610,0,36,195,165,73,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFU_M_R,Wetland,324,224,52,0,8,15,63,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFU_M_R,Non_Water,0,1,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFU_M_R,Water,809,841,174,178,21,189,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KFU_M_R,Permanent_ice_and_snow,4,0,1,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFU_M_R,Non_Wetland,0,2,0,16,0,0,1,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFU_M_R,Shrubland,22,25,0,47,8,8,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KFU_M_R,Grassland,0,200,0,272,62,94,119,26,0,0,0,0
