Dataset,MajorityClass,Wetland,Grassland,Bareland,Water,Forest,Shrubland,Built-up,Non_Wetland,Non_Water,Lichens_and_Mosses,Cropland
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVU_M_R,Non_Wetland,6,1,1,2,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVU_M_R,Grassland,55,0,39,25,38,2,11,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVU_M_R,Bareland,4,2,0,2,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVU_M_R,Water,340,86,21,0,130,0,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVU_M_R,Forest,400,199,69,242,0,8,13,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVU_M_R,Shrubland,6,3,2,4,4,0,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVU_M_R,Wetland,0,117,24,196,43,1,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVU_M_R,Built-up,8,8,12,4,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MVU_M_R,Cropland,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVU_M_R,Non_Wetland,0,3,0,0,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVU_M_R,Water,185,221,25,0,405,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVU_M_R,Grassland,4,0,4,0,83,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVU_M_R,Wetland,0,306,12,78,275,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVU_M_R,Bareland,1,14,0,1,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVU_M_R,Shrubland,0,11,2,0,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVU_M_R,Built-up,0,19,5,0,21,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVU_M_R,Forest,36,228,0,90,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MVU_M_R,Cropland,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVU_M_R,Grassland,25,0,0,0,0,0,0,156,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVU_M_R,Wetland,0,0,0,30,0,0,0,267,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVU_M_R,Forest,143,0,0,50,0,0,0,712,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVU_M_R,Water,188,0,0,0,0,0,0,407,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MVU_M_R,Shrubland,0,0,0,0,0,0,0,15,0,0,0
