Dataset,MajorityClass,Forest,Cropland,Bareland,Built-up,Water,Wetland,Grassland,Non_Wetland,Shrubland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22KDV_M_R,Grassland,220,129,14,38,19,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KDV_M_R,Non_Wetland,1,0,0,0,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KDV_M_R,Bareland,57,19,0,38,18,0,110,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KDV_M_R,Built-up,309,170,153,0,61,0,426,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KDV_M_R,Forest,0,218,96,123,193,19,856,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KDV_M_R,Wetland,202,40,33,0,130,0,376,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KDV_M_R,Non_Water,0,0,1,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KDV_M_R,Shrubland,6,6,1,1,2,0,21,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KDV_M_R,Water,649,131,272,67,0,68,760,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KDV_M_R,Cropland,494,0,187,165,92,4,725,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDV_M_R,Non_Wetland,0,0,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDV_M_R,Grassland,69,0,52,114,121,150,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDV_M_R,Non_Water,0,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDV_M_R,Shrubland,0,0,4,4,5,3,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDV_M_R,Cropland,185,0,260,333,244,155,191,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDV_M_R,Bareland,3,0,0,37,130,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDV_M_R,Forest,0,0,162,239,453,443,193,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDV_M_R,Wetland,5,0,10,23,231,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDV_M_R,Built-up,54,0,177,0,124,28,55,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KDV_M_R,Water,140,0,59,157,0,245,28,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KDV_M_R,Grassland,0,0,0,0,17,63,0,237,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KDV_M_R,Wetland,0,0,0,0,3,0,0,265,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KDV_M_R,Shrubland,0,0,0,0,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KDV_M_R,Cropland,0,0,0,0,37,61,0,329,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KDV_M_R,Water,0,0,0,0,0,434,0,469,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KDV_M_R,Built-up,0,0,0,0,35,32,0,111,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KDV_M_R,Forest,0,0,0,0,94,190,0,868,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KDV_M_R,Bareland,0,0,0,0,14,28,0,7,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDV_M_R,Non_Wetland,1,0,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDV_M_R,Grassland,76,47,24,55,91,113,0,0,17,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDV_M_R,Non_Water,0,1,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDV_M_R,Shrubland,1,1,0,5,4,1,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDV_M_R,Cropland,152,0,215,254,106,190,230,0,13,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDV_M_R,Built-up,60,47,199,0,22,85,107,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDV_M_R,Wetland,36,5,4,35,165,0,10,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDV_M_R,Water,190,29,168,209,0,384,15,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDV_M_R,Forest,0,119,137,148,245,540,238,0,25,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KDV_M_R,Bareland,2,2,0,14,15,4,1,0,0,0,0,0
