Dataset,MajorityClass,Grassland,Forest,Cropland,Bareland,Built-up,Wetland,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_25MBN_M_R,Shrubland,289,139,62,26,26,12,6,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_25MBN_M_R,Grassland,0,428,428,128,122,126,45,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_25MBN_M_R,Non_Wetland,6,3,3,0,0,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_25MBN_M_R,Bareland,679,122,64,0,70,72,45,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_25MBN_M_R,Built-up,796,442,254,289,0,116,60,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_25MBN_M_R,Water,2079,689,504,638,198,745,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_25MBN_M_R,Forest,1869,0,507,114,188,628,85,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_25MBN_M_R,Cropland,1190,501,0,256,216,100,59,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_25MBN_M_R,Wetland,1353,466,266,157,49,0,206,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_25MBN_M_R,Non_Water,2,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_25MBN_M_R,Lichens_and_Mosses,4,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_25MBN_M_R,Permanent_ice_and_snow,96,46,18,7,8,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25MBN_M_R,Non_Wetland,0,1,0,3,0,5,0,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25MBN_M_R,Shrubland,82,42,0,6,8,4,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25MBN_M_R,Grassland,0,364,0,53,164,200,174,374,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25MBN_M_R,Cropland,688,340,0,166,373,204,151,414,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25MBN_M_R,Wetland,124,489,0,435,69,0,591,87,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25MBN_M_R,Bareland,80,68,0,0,165,19,195,48,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25MBN_M_R,Built-up,271,98,0,174,0,102,141,103,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25MBN_M_R,Water,310,642,0,213,282,311,0,321,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25MBN_M_R,Forest,682,0,0,253,302,641,294,870,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25MBN_M_R,Non_Water,1,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25MBN_M_R,Lichens_and_Mosses,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25MBN_M_R,Permanent_ice_and_snow,28,10,0,16,2,0,2,30,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_25MBN_M_R,Wetland,0,0,0,0,0,0,32,0,1774,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_25MBN_M_R,Forest,0,0,0,0,0,487,47,0,1783,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_25MBN_M_R,Water,0,0,0,0,0,1046,0,0,1082,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_25MBN_M_R,Shrubland,0,0,0,0,0,0,0,0,107,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_25MBN_M_R,Grassland,0,0,0,0,0,185,16,0,780,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_25MBN_M_R,Cropland,0,0,0,0,0,109,4,0,621,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_25MBN_M_R,Bareland,0,0,0,0,0,133,16,0,179,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_25MBN_M_R,Built-up,0,0,0,0,0,106,5,0,282,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_25MBN_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,12,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_25MBN_M_R,Non_Wetland,1,0,0,0,0,9,1,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_25MBN_M_R,Grassland,0,253,285,218,173,75,114,736,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_25MBN_M_R,Forest,601,0,397,278,240,471,200,1219,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_25MBN_M_R,Wetland,116,277,103,265,33,0,532,521,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_25MBN_M_R,Non_Water,0,0,0,0,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_25MBN_M_R,Water,229,361,223,451,161,232,0,932,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_25MBN_M_R,Shrubland,42,11,19,18,6,22,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_25MBN_M_R,Cropland,485,203,0,286,273,68,94,504,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_25MBN_M_R,Bareland,52,15,69,0,41,8,87,88,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_25MBN_M_R,Built-up,200,49,176,413,0,35,65,164,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_25MBN_M_R,Lichens_and_Mosses,0,0,1,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_25MBN_M_R,Permanent_ice_and_snow,13,6,9,19,3,1,2,45,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_25MBN_M_R,Grassland,0,0,0,0,0,0,268,0,0,283,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_25MBN_M_R,Wetland,0,0,0,0,0,0,616,0,0,505,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_25MBN_M_R,Bareland,0,0,0,0,0,0,311,0,0,150,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_25MBN_M_R,Shrubland,0,0,0,0,0,0,12,0,0,40,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_25MBN_M_R,Cropland,0,0,0,0,0,0,156,0,0,142,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_25MBN_M_R,Water,0,0,0,0,0,0,0,0,0,1265,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_25MBN_M_R,Built-up,0,0,0,0,0,0,180,0,0,101,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_25MBN_M_R,Forest,0,0,0,0,0,0,421,0,0,350,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_25MBN_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,5,0,0,3,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_25MBN_M_R,Grassland,0,679,868,255,194,185,16,576,0,0,18,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_25MBN_M_R,Wetland,104,356,360,216,108,0,33,254,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_25MBN_M_R,Built-up,182,288,549,131,0,114,5,288,0,0,37,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_25MBN_M_R,Forest,750,0,982,399,297,489,47,785,0,0,23,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_25MBN_M_R,Cropland,275,515,0,159,198,109,4,422,0,0,35,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_25MBN_M_R,Bareland,41,163,540,0,349,156,31,131,0,0,76,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_25MBN_M_R,Water,356,857,1091,459,368,1077,0,695,0,0,41,0
