Dataset,MajorityClass,Grassland,Bareland,Built-up,Forest,Water,Wetland,Cropland,Non_Water,Shrubland,Non_Wetland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_17MRR_M_R,Shrubland,2,2,1,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MRR_M_R,Grassland,0,4,3,11,6,2,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MRR_M_R,Cropland,23,14,2,10,17,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MRR_M_R,Wetland,22,22,0,42,45,0,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MRR_M_R,Bareland,54,0,1,38,39,0,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MRR_M_R,Built-up,9,6,0,16,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MRR_M_R,Water,80,67,4,102,0,3,13,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MRR_M_R,Forest,73,49,15,0,52,4,9,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_17MRR_M_R,Permanent_ice_and_snow,1,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRR_M_R,Shrubland,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRR_M_R,Cropland,0,0,0,0,11,0,0,13,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRR_M_R,Wetland,0,0,0,0,44,0,0,36,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRR_M_R,Bareland,0,0,0,0,70,0,0,39,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRR_M_R,Water,0,0,0,0,0,0,0,129,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRR_M_R,Forest,0,0,0,0,87,0,0,56,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRR_M_R,Built-up,0,0,0,0,11,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_17MRR_M_R,Grassland,0,0,0,0,13,0,0,8,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRR_M_R,Water,30,48,26,70,0,55,59,0,74,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRR_M_R,Bareland,10,0,19,32,8,25,39,0,33,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRR_M_R,Built-up,5,6,0,6,0,1,7,0,9,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRR_M_R,Forest,27,32,21,0,14,33,54,0,70,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRR_M_R,Grassland,0,2,2,10,1,1,13,0,16,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRR_M_R,Cropland,2,7,1,8,0,0,0,0,20,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRR_M_R,Wetland,1,2,0,1,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_17MRR_M_R,Permanent_ice_and_snow,0,0,0,1,0,0,1,0,1,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRR_M_R,Forest,0,16,28,0,52,11,2,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRR_M_R,Water,0,73,41,59,0,11,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRR_M_R,Wetland,0,19,11,23,23,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_17MRR_M_R,Grassland,0,0,10,19,8,1,0,0,0,0,0
