Dataset,MajorityClass,Grassland,Cropland,Wetland,Bareland,Built-up,Water,Permanent_ice_and_snow,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses,Forest
AMAZON_EXTENSION_2024_WorldCover_2021_19KEA_M_R,Shrubland,3,1,2,3,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KEA_M_R,Grassland,0,8,13,16,5,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KEA_M_R,Cropland,61,0,3,33,10,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KEA_M_R,Wetland,48,6,0,23,0,22,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KEA_M_R,Lichens_and_Mosses,2,1,0,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KEA_M_R,Bareland,78,43,19,0,21,39,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KEA_M_R,Built-up,12,8,0,6,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KEA_M_R,Water,79,22,29,76,1,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KEA_M_R,Forest,27,1,10,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KEA_M_R,Permanent_ice_and_snow,8,0,0,12,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KEA_M_R,Shrubland,0,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KEA_M_R,Bareland,0,0,27,0,0,8,0,41,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KEA_M_R,Forest,0,0,0,0,0,0,0,13,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KEA_M_R,Wetland,0,0,0,0,0,2,0,37,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KEA_M_R,Grassland,0,0,5,0,0,1,0,34,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KEA_M_R,Cropland,0,0,7,0,0,0,0,10,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KEA_M_R,Water,0,0,36,0,0,0,0,45,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KEA_M_R,Built-up,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19KEA_M_R,Permanent_ice_and_snow,0,0,3,0,0,2,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KEA_M_R,Shrubland,0,0,0,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KEA_M_R,Grassland,0,0,0,0,0,11,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KEA_M_R,Bareland,0,0,0,0,0,74,0,0,37,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KEA_M_R,Wetland,0,0,0,0,0,25,0,0,18,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KEA_M_R,Cropland,0,0,0,0,0,23,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KEA_M_R,Water,0,0,0,0,0,0,0,0,69,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KEA_M_R,Forest,0,0,0,0,0,4,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KEA_M_R,Cropland,27,0,7,33,26,0,0,0,0,33,16,5
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KEA_M_R,Wetland,0,0,0,6,1,2,0,0,0,16,2,5
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KEA_M_R,Bareland,42,1,27,0,46,8,1,0,0,66,22,10
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KEA_M_R,Built-up,6,1,0,10,0,0,0,0,0,6,3,1
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KEA_M_R,Water,23,1,36,45,27,0,2,0,0,73,10,9
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KEA_M_R,Grassland,0,8,5,12,10,1,0,0,0,19,4,7
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KEA_M_R,Permanent_ice_and_snow,1,0,3,3,3,2,0,0,0,9,1,1
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19KEA_M_R,Forest,4,2,0,5,1,0,0,0,0,16,1,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KEA_M_R,Grassland,0,21,22,12,10,12,0,0,0,0,0,8
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KEA_M_R,Wetland,0,14,0,9,4,19,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KEA_M_R,Bareland,0,64,22,0,24,46,3,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KEA_M_R,Built-up,0,1,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KEA_M_R,Water,0,39,21,37,3,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KEA_M_R,Cropland,0,0,7,7,9,1,0,0,0,0,0,2
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KEA_M_R,Permanent_ice_and_snow,0,2,1,8,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19KEA_M_R,Forest,0,2,4,3,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KEA_M_R,Cropland,2,0,0,12,0,1,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KEA_M_R,Wetland,13,11,0,32,0,23,7,0,0,0,0,6
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KEA_M_R,Bareland,4,13,0,0,0,23,15,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_19KEA_M_R,Built-up,2,6,0,10,0,0,1,0,0,0,0,0
