Dataset,MajorityClass,Grassland,Forest,Water,Wetland,Cropland,Bareland,Built-up,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22LEP_M_R,Shrubland,288,149,9,87,21,6,10,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEP_M_R,Grassland,0,275,4,74,111,38,28,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEP_M_R,Non_Wetland,15,12,0,13,2,0,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEP_M_R,Water,977,865,0,607,30,101,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEP_M_R,Forest,1334,0,170,526,68,41,49,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEP_M_R,Cropland,399,210,1,11,0,52,45,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEP_M_R,Wetland,1229,673,267,0,60,38,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEP_M_R,Bareland,339,92,96,7,41,0,20,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEP_M_R,Built-up,104,96,0,0,7,20,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LEP_M_R,Non_Water,1,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEP_M_R,Non_Wetland,9,7,2,23,0,0,0,6,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEP_M_R,Shrubland,75,50,20,98,0,8,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEP_M_R,Grassland,0,173,62,302,0,36,8,245,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEP_M_R,Cropland,409,120,10,145,0,37,11,81,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEP_M_R,Wetland,371,551,566,0,0,40,0,743,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEP_M_R,Bareland,95,86,180,32,0,0,1,82,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEP_M_R,Built-up,45,3,7,13,0,21,0,31,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEP_M_R,Water,403,575,0,455,0,14,5,503,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEP_M_R,Forest,816,0,467,791,0,113,25,907,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LEP_M_R,Non_Water,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEP_M_R,Wetland,0,0,79,0,0,0,0,0,822,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEP_M_R,Shrubland,0,0,0,0,0,0,0,0,303,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEP_M_R,Grassland,0,0,43,132,0,0,0,0,650,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEP_M_R,Forest,0,0,260,746,0,0,0,0,1805,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEP_M_R,Water,0,0,0,831,0,0,0,0,643,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEP_M_R,Bareland,0,0,44,299,0,0,0,0,48,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEP_M_R,Cropland,0,0,2,14,0,0,0,0,231,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22LEP_M_R,Built-up,0,0,5,1,0,0,0,0,18,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEP_M_R,Grassland,0,98,73,226,142,234,20,283,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEP_M_R,Non_Wetland,6,3,3,16,4,5,0,10,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEP_M_R,Wetland,262,370,368,0,36,474,0,743,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEP_M_R,Forest,621,0,379,610,257,767,5,935,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEP_M_R,Water,145,482,0,495,52,503,0,538,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEP_M_R,Shrubland,59,22,10,57,15,72,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEP_M_R,Cropland,250,35,32,86,0,221,10,91,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEP_M_R,Bareland,26,8,65,11,15,0,1,17,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22LEP_M_R,Built-up,48,4,10,5,2,105,0,8,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LEP_M_R,Grassland,0,0,201,0,0,0,0,0,0,51,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LEP_M_R,Shrubland,0,0,82,0,0,0,0,0,0,16,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LEP_M_R,Wetland,0,0,814,0,0,0,0,0,0,484,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LEP_M_R,Bareland,0,0,239,0,0,0,0,0,0,107,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LEP_M_R,Water,0,0,0,0,0,0,0,0,0,711,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LEP_M_R,Forest,0,0,825,0,0,0,0,0,0,370,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LEP_M_R,Cropland,0,0,30,0,0,0,0,0,0,6,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22LEP_M_R,Built-up,0,0,11,0,0,0,0,0,0,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LEP_M_R,Grassland,0,327,43,132,314,17,47,499,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LEP_M_R,Wetland,9,298,79,0,28,20,3,248,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LEP_M_R,Forest,352,0,260,746,514,89,88,833,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LEP_M_R,Cropland,81,117,2,14,0,2,17,218,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LEP_M_R,Water,53,471,0,831,198,95,14,457,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LEP_M_R,Bareland,15,39,44,299,210,0,27,124,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LEP_M_R,Built-up,14,11,5,1,65,1,0,60,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22LEP_M_R,Shrubland,14,33,0,0,16,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LEP_M_R,Grassland,0,220,84,94,472,6,78,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LEP_M_R,Wetland,0,271,417,0,96,36,30,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LEP_M_R,Forest,0,0,571,418,357,45,194,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LEP_M_R,Bareland,0,54,56,13,88,0,55,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LEP_M_R,Shrubland,0,34,33,69,47,0,27,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LEP_M_R,Built-up,0,0,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LEP_M_R,Water,0,145,0,310,38,139,16,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22LEP_M_R,Cropland,0,39,0,0,0,10,32,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LEP_M_R,Wetland,338,949,436,0,113,129,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LEP_M_R,Forest,179,0,165,92,83,57,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LEP_M_R,Shrubland,55,150,46,25,20,31,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LEP_M_R,Cropland,71,100,5,0,0,132,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LEP_M_R,Water,87,687,0,119,22,169,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LEP_M_R,Bareland,2,47,3,0,27,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LEP_M_R,Grassland,0,317,68,45,114,142,0,0,0,0,3
AMAZON_EXTENSION_2024_DynamicWorld_2024_22LEP_M_R,Built-up,0,22,1,0,5,9,0,0,0,0,0
