Dataset,MajorityClass,Grassland,Wetland,Forest,Built-up,Water,Bareland,Non_Wetland,Shrubland,Cropland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21PTK_M_R,Shrubland,1,2,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21PTK_M_R,Grassland,0,7,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21PTK_M_R,Cropland,3,4,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21PTK_M_R,Wetland,18,0,13,0,28,10,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21PTK_M_R,Built-up,2,0,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21PTK_M_R,Water,24,45,23,1,0,29,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21PTK_M_R,Forest,27,38,0,0,14,13,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21PTK_M_R,Bareland,4,5,0,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21PTK_M_R,Permanent_ice_and_snow,0,3,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21PTK_M_R,Shrubland,0,0,0,0,0,0,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21PTK_M_R,Grassland,0,6,0,0,0,0,7,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21PTK_M_R,Cropland,0,0,0,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21PTK_M_R,Forest,0,28,0,0,8,0,36,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21PTK_M_R,Water,0,34,0,0,0,0,23,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21PTK_M_R,Wetland,0,0,0,0,8,0,12,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21PTK_M_R,Bareland,0,10,0,0,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21PTK_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,3,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21PTK_M_R,Water,15,42,25,2,0,0,0,36,26,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21PTK_M_R,Built-up,0,0,1,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21PTK_M_R,Forest,6,28,0,2,8,4,0,30,18,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21PTK_M_R,Grassland,0,6,5,0,0,0,0,5,6,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21PTK_M_R,Cropland,0,0,3,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21PTK_M_R,Wetland,0,0,5,0,8,0,0,5,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21PTK_M_R,Bareland,0,10,1,0,0,0,0,8,6,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21PTK_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21PTK_M_R,Wetland,0,0,0,0,21,0,0,0,0,27,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21PTK_M_R,Water,0,0,0,0,0,0,0,0,0,56,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21PTK_M_R,Grassland,0,0,0,0,0,0,0,0,0,4,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21PTK_M_R,Bareland,0,0,0,0,5,0,0,0,0,5,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21PTK_M_R,Forest,0,0,0,0,16,0,0,0,0,17,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21PTK_M_R,Water,0,8,22,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21PTK_M_R,Wetland,0,0,31,5,36,3,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21PTK_M_R,Forest,0,1,0,3,28,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21PTK_M_R,Grassland,0,0,8,0,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21PTK_M_R,Bareland,0,0,9,0,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21PTK_M_R,Wetland,9,0,21,0,14,24,0,0,3,0,7
AMAZON_EXTENSION_2024_DynamicWorld_2024_21PTK_M_R,Forest,8,0,0,0,14,4,0,0,6,0,8
AMAZON_EXTENSION_2024_DynamicWorld_2024_21PTK_M_R,Water,4,12,37,0,0,23,0,0,1,0,9
AMAZON_EXTENSION_2024_DynamicWorld_2024_21PTK_M_R,Grassland,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21PTK_M_R,Built-up,0,0,0,0,1,0,0,0,0,0,0
