Dataset,MajorityClass,Grassland,Cropland,Water,Forest,Wetland,Bareland,Built-up,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21KZB_M_R,Shrubland,238,40,44,133,32,34,48,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZB_M_R,Non_Wetland,9,0,0,6,4,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZB_M_R,Grassland,0,102,18,164,16,32,28,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZB_M_R,Bareland,175,45,22,77,14,0,36,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZB_M_R,Water,442,4,0,401,79,199,6,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZB_M_R,Forest,868,188,288,0,87,150,112,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZB_M_R,Cropland,569,0,23,360,6,155,153,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZB_M_R,Wetland,54,0,16,17,0,4,4,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZB_M_R,Built-up,204,49,7,147,0,60,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZB_M_R,Non_Water,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21KZB_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZB_M_R,Non_Wetland,2,0,6,1,10,2,0,6,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZB_M_R,Shrubland,73,0,41,30,56,38,7,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZB_M_R,Grassland,0,0,44,89,129,59,22,165,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZB_M_R,Cropland,479,0,48,212,139,182,94,411,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZB_M_R,Wetland,3,0,28,0,0,10,0,5,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZB_M_R,Bareland,126,0,63,19,5,0,37,82,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZB_M_R,Water,153,0,0,119,153,92,9,368,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZB_M_R,Forest,477,0,520,0,483,358,72,961,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZB_M_R,Non_Water,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZB_M_R,Built-up,104,0,22,12,6,97,0,103,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21KZB_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZB_M_R,Wetland,0,0,0,0,0,0,0,0,175,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZB_M_R,Shrubland,0,0,0,0,0,0,0,0,136,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZB_M_R,Grassland,0,0,7,0,3,0,0,0,217,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZB_M_R,Forest,0,0,111,0,91,0,0,0,1048,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZB_M_R,Bareland,0,0,11,0,6,0,0,0,26,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZB_M_R,Water,0,0,0,0,150,0,0,0,280,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZB_M_R,Cropland,0,0,3,0,3,0,0,0,264,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21KZB_M_R,Built-up,0,0,7,0,0,0,0,0,62,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZB_M_R,Grassland,0,61,22,49,81,131,11,138,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21KZB_M_R,Non_Wetland,1,0,0,1,15,6,0,3,0,0,0
