Dataset,MajorityClass,Grassland,Cropland,Forest,Water,Wetland,Bareland,Built-up,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22LBJ_M_R,Shrubland,268,52,114,38,61,38,29,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBJ_M_R,Grassland,0,100,185,19,39,45,22,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBJ_M_R,Non_Wetland,7,2,4,2,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBJ_M_R,Bareland,174,42,48,5,14,0,20,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBJ_M_R,Forest,688,164,0,164,95,59,29,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBJ_M_R,Cropland,517,0,306,25,19,132,93,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBJ_M_R,Wetland,92,2,23,24,0,5,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBJ_M_R,Built-up,151,31,107,3,0,55,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBJ_M_R,Water,430,14,260,0,123,68,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBJ_M_R,Non_Water,3,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22LBJ_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBJ_M_R,Non_Wetland,1,0,2,1,10,1,0,7,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBJ_M_R,Shrubland,83,0,21,51,57,26,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBJ_M_R,Grassland,0,0,92,103,88,28,22,211,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBJ_M_R,Cropland,493,0,174,32,86,114,91,388,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBJ_M_R,Wetland,22,0,14,101,0,1,0,41,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBJ_M_R,Bareland,127,0,19,57,16,0,13,41,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22LBJ_M_R,Built-up,92,0,7,14,1,62,0,73,0,0,0
