Dataset,MajorityClass,Grassland,Wetland,Built-up,Forest,Water,Bareland,Cropland,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_18MUV_M_R,Shrubland,3,3,1,3,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MUV_M_R,Grassland,0,8,0,14,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MUV_M_R,Cropland,25,1,0,11,14,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MUV_M_R,Wetland,79,0,0,65,62,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MUV_M_R,Built-up,12,0,0,12,6,6,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MUV_M_R,Water,96,31,3,101,0,29,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MUV_M_R,Forest,76,33,4,0,56,24,4,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MUV_M_R,Bareland,26,0,0,22,28,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MUV_M_R,Shrubland,0,0,0,0,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MUV_M_R,Forest,0,39,0,0,16,0,0,80,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MUV_M_R,Wetland,0,0,0,0,10,0,0,44,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MUV_M_R,Water,0,57,0,0,0,0,0,27,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MUV_M_R,Grassland,0,10,0,0,3,0,0,22,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MUV_M_R,Cropland,0,1,0,0,0,0,0,8,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MUV_M_R,Bareland,0,13,0,0,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MUV_M_R,Built-up,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUV_M_R,Shrubland,0,0,0,0,3,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUV_M_R,Grassland,0,0,0,0,21,0,0,0,6,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUV_M_R,Cropland,0,0,0,0,9,0,0,0,6,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MUV_M_R,Wetland,0,0,0,0,78,0,0,0,47,0,0
