Dataset,MajorityClass,Forest,Built-up,Water,Bareland,Grassland,Wetland,Non_Wetland,Non_Water,Shrubland,Cropland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_19MCM_M_R,Grassland,263,53,49,48,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MCM_M_R,Non_Wetland,4,0,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MCM_M_R,Wetland,102,0,76,6,166,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MCM_M_R,Bareland,46,10,78,0,151,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MCM_M_R,Built-up,117,0,25,48,163,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MCM_M_R,Water,696,4,0,327,981,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MCM_M_R,Non_Water,1,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MCM_M_R,Shrubland,2,0,0,1,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MCM_M_R,Cropland,44,6,2,1,67,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MCM_M_R,Lichens_and_Mosses,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MCM_M_R,Forest,0,21,369,149,830,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MCM_M_R,Permanent_ice_and_snow,0,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MCM_M_R,Non_Wetland,0,0,0,0,1,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MCM_M_R,Grassland,67,47,203,320,0,245,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MCM_M_R,Bareland,23,9,181,0,49,90,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MCM_M_R,Built-up,13,0,7,126,72,23,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MCM_M_R,Water,261,22,0,341,451,626,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MCM_M_R,Forest,0,45,559,375,497,720,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MCM_M_R,Non_Water,0,0,2,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MCM_M_R,Shrubland,0,0,1,3,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MCM_M_R,Cropland,2,5,11,51,31,20,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MCM_M_R,Wetland,16,0,36,15,32,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MCM_M_R,Lichens_and_Mosses,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MCM_M_R,Permanent_ice_and_snow,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MCM_M_R,Grassland,0,0,63,0,0,60,385,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MCM_M_R,Wetland,0,0,2,0,0,0,57,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MCM_M_R,Shrubland,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MCM_M_R,Water,0,0,0,0,0,311,424,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MCM_M_R,Cropland,0,0,3,0,0,1,20,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MCM_M_R,Built-up,0,0,11,0,0,5,26,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MCM_M_R,Bareland,0,0,24,0,0,17,80,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MCM_M_R,Forest,0,0,158,0,0,287,893,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MCM_M_R,Non_Wetland,0,0,1,2,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MCM_M_R,Water,115,109,0,476,755,150,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MCM_M_R,Forest,0,85,422,465,890,342,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MCM_M_R,Grassland,23,107,186,253,0,65,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MCM_M_R,Non_Water,0,0,0,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MCM_M_R,Shrubland,0,0,3,2,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MCM_M_R,Bareland,0,7,115,0,24,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MCM_M_R,Cropland,0,19,23,40,38,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MCM_M_R,Wetland,7,0,60,27,117,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MCM_M_R,Lichens_and_Mosses,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MCM_M_R,Built-up,3,0,35,86,73,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MCM_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MCM_M_R,Grassland,0,0,170,0,0,0,0,142,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MCM_M_R,Water,0,0,0,0,0,0,0,685,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MCM_M_R,Shrubland,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MCM_M_R,Bareland,0,0,122,0,0,0,0,136,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MCM_M_R,Wetland,0,0,72,0,0,0,0,65,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MCM_M_R,Lichens_and_Mosses,0,0,0,0,0,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MCM_M_R,Built-up,0,0,25,0,0,0,0,20,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MCM_M_R,Forest,0,0,535,0,0,0,0,409,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MCM_M_R,Cropland,0,0,2,0,0,0,0,10,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MCM_M_R,Grassland,316,125,63,53,0,60,0,0,144,138,17,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MCM_M_R,Wetland,25,5,2,3,3,0,0,0,7,6,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MCM_M_R,Bareland,52,69,24,0,112,17,0,0,34,14,33,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MCM_M_R,Forest,0,167,158,236,309,287,0,0,191,193,84,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MCM_M_R,Water,477,181,0,250,326,311,0,0,212,119,84,0
