Dataset,MajorityClass,Grassland,Cropland,Forest,Built-up,Bareland,Water,Wetland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22MGS_M_R,Shrubland,235,33,138,72,41,8,20,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MGS_M_R,Grassland,0,141,399,93,71,18,117,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MGS_M_R,Non_Wetland,11,1,10,0,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MGS_M_R,Bareland,241,39,112,52,0,15,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MGS_M_R,Built-up,235,34,163,0,44,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MGS_M_R,Water,447,0,547,3,120,0,185,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MGS_M_R,Forest,713,64,0,112,35,54,98,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MGS_M_R,Cropland,428,0,237,80,57,1,7,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MGS_M_R,Wetland,236,4,214,1,29,50,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MGS_M_R,Non_Water,1,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MGS_M_R,Permanent_ice_and_snow,5,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGS_M_R,Non_Wetland,6,0,3,0,2,1,15,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGS_M_R,Shrubland,96,0,26,18,52,9,43,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGS_M_R,Grassland,0,0,131,37,111,57,197,235,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGS_M_R,Cropland,429,0,93,21,134,2,31,221,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGS_M_R,Wetland,213,0,10,0,2,153,0,32,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGS_M_R,Bareland,201,0,12,19,0,44,19,50,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGS_M_R,Built-up,132,0,27,0,93,6,6,109,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGS_M_R,Water,542,0,67,4,26,0,187,105,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGS_M_R,Forest,895,0,0,88,221,210,467,472,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGS_M_R,Non_Water,1,0,0,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGS_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,2,0,0,0,0
