Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Forest,Wetland,Water,Non_Wetland,Shrubland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_23MMN_M_R,Shrubland,286,58,73,59,159,13,19,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MMN_M_R,Grassland,0,134,47,25,214,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MMN_M_R,Bareland,161,33,0,19,42,1,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MMN_M_R,Built-up,165,61,62,0,119,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MMN_M_R,Water,363,10,82,2,314,40,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MMN_M_R,Forest,471,102,31,20,0,21,24,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MMN_M_R,Non_Wetland,4,0,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MMN_M_R,Cropland,404,0,152,57,212,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MMN_M_R,Wetland,126,2,1,1,58,0,16,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_23MMN_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MMN_M_R,Shrubland,0,0,0,0,0,0,0,68,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MMN_M_R,Wetland,0,0,0,0,0,0,16,70,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MMN_M_R,Forest,0,0,0,0,0,110,56,275,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MMN_M_R,Water,0,0,0,0,0,188,0,111,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MMN_M_R,Grassland,0,0,0,0,0,25,8,66,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MMN_M_R,Bareland,0,0,0,0,0,1,8,2,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MMN_M_R,Built-up,0,0,0,0,0,2,5,4,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_23MMN_M_R,Cropland,0,0,0,0,0,9,8,3,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MMN_M_R,Shrubland,75,0,38,16,24,18,27,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MMN_M_R,Non_Wetland,0,0,0,0,0,4,1,0,4,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MMN_M_R,Grassland,0,0,37,16,74,10,30,0,300,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MMN_M_R,Cropland,356,0,116,65,77,0,18,0,410,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MMN_M_R,Bareland,73,0,0,13,0,0,30,0,107,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MMN_M_R,Built-up,108,0,61,0,1,0,6,0,143,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MMN_M_R,Water,108,0,3,7,53,32,0,0,311,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MMN_M_R,Forest,355,0,58,61,0,131,123,0,736,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_23MMN_M_R,Wetland,30,0,2,2,3,0,53,0,104,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MMN_M_R,Grassland,0,115,132,21,46,28,44,0,254,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MMN_M_R,Non_Wetland,0,0,0,0,1,6,0,0,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MMN_M_R,Bareland,54,40,0,16,0,1,4,0,57,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MMN_M_R,Forest,319,100,193,33,0,160,109,0,619,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MMN_M_R,Water,22,4,49,9,132,83,0,0,327,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MMN_M_R,Shrubland,78,35,63,19,16,16,18,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MMN_M_R,Built-up,110,19,131,0,10,2,1,0,109,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_23MMN_M_R,Cropland,307,0,198,61,38,0,6,0,284,0,0,0
