Dataset,MajorityClass,Grassland,Wetland,Built-up,Forest,Water,Bareland,Cropland,Non_Wetland,Non_Water,Shrubland,Lichens_and_Mosses
AMAZON_EXTENSION_2024_WorldCover_2021_18MXV_M_R,Shrubland,3,1,2,2,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MXV_M_R,Grassland,0,9,2,28,12,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MXV_M_R,Cropland,58,6,1,30,14,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MXV_M_R,Wetland,119,0,0,81,64,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MXV_M_R,Lichens_and_Mosses,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MXV_M_R,Bareland,8,0,0,17,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MXV_M_R,Built-up,20,0,0,17,9,6,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MXV_M_R,Water,159,54,1,121,0,7,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MXV_M_R,Forest,117,27,6,0,50,2,5,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXV_M_R,Shrubland,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXV_M_R,Forest,0,37,0,0,17,0,0,95,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXV_M_R,Wetland,0,0,0,0,10,0,0,90,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXV_M_R,Grassland,0,12,0,0,5,0,0,47,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXV_M_R,Water,0,56,0,0,0,0,0,55,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXV_M_R,Built-up,0,1,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXV_M_R,Cropland,0,5,0,0,1,0,0,16,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MXV_M_R,Bareland,0,9,0,0,3,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXV_M_R,Shrubland,0,0,0,0,1,0,0,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXV_M_R,Grassland,0,0,0,0,45,0,0,0,18,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXV_M_R,Cropland,0,0,0,0,29,0,0,0,12,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXV_M_R,Wetland,0,0,0,0,116,0,0,0,48,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXV_M_R,Bareland,0,0,0,0,11,0,0,0,5,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXV_M_R,Water,0,0,0,0,0,0,0,0,143,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXV_M_R,Forest,0,0,0,0,108,0,0,0,55,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MXV_M_R,Built-up,0,0,0,0,10,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXV_M_R,Water,29,56,19,64,0,48,16,0,0,60,5
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXV_M_R,Cropland,11,5,7,22,1,13,0,0,0,24,1
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXV_M_R,Wetland,8,0,2,25,10,12,7,0,0,22,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXV_M_R,Built-up,9,1,0,8,1,3,3,0,0,12,3
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXV_M_R,Forest,38,37,26,0,17,44,27,0,0,66,11
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXV_M_R,Grassland,0,12,3,22,5,14,10,0,0,27,2
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MXV_M_R,Bareland,1,9,2,4,3,0,0,0,0,1,1
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXV_M_R,Wetland,0,0,18,42,38,12,21,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXV_M_R,Forest,0,60,36,0,43,5,21,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXV_M_R,Grassland,0,35,14,32,15,0,14,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXV_M_R,Water,0,75,41,78,0,29,21,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXV_M_R,Bareland,0,0,3,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MXV_M_R,Built-up,0,0,0,1,1,0,0,0,0,0,0
