Dataset,MajorityClass,Grassland,Forest,Wetland,Built-up,Cropland,Bareland,Water,Shrubland,Non_Wetland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20LMN_M_R,Shrubland,39,16,11,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LMN_M_R,Grassland,0,198,52,53,54,28,8,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LMN_M_R,Non_Wetland,1,2,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LMN_M_R,Bareland,61,21,0,9,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LMN_M_R,Water,228,249,29,2,0,51,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LMN_M_R,Cropland,155,97,2,26,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LMN_M_R,Built-up,66,40,0,0,4,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LMN_M_R,Wetland,74,52,0,0,0,9,12,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20LMN_M_R,Forest,249,0,31,8,8,11,32,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMN_M_R,Grassland,0,22,95,23,54,158,45,69,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMN_M_R,Forest,373,0,121,0,27,122,111,126,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMN_M_R,Non_Wetland,0,0,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMN_M_R,Shrubland,16,1,3,0,2,10,3,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMN_M_R,Water,178,23,103,0,9,40,0,26,0,0,0,0
