Dataset,MajorityClass,Grassland,Forest,Wetland,Built-up,Cropland,Bareland,Water,Shrubland,Non_Wetland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMN_M_R,Cropland,133,3,11,19,0,91,5,16,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMN_M_R,Built-up,59,0,2,0,6,44,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMN_M_R,Wetland,65,10,0,0,3,12,19,30,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20LMN_M_R,Bareland,18,0,1,0,3,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMN_M_R,Shrubland,17,5,0,0,0,14,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMN_M_R,Grassland,0,68,22,18,0,84,43,69,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMN_M_R,Non_Wetland,1,0,0,0,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMN_M_R,Bareland,38,3,0,4,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMN_M_R,Water,319,95,13,0,0,2,0,13,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMN_M_R,Forest,408,0,19,9,0,141,70,97,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMN_M_R,Cropland,213,22,0,12,0,28,3,26,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMN_M_R,Wetland,112,38,0,0,0,14,22,17,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20LMN_M_R,Built-up,45,3,0,0,0,38,0,7,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMN_M_R,Grassland,0,0,78,0,0,0,32,0,160,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMN_M_R,Forest,0,0,178,0,0,0,39,0,151,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMN_M_R,Shrubland,0,0,0,0,0,0,0,0,14,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMN_M_R,Cropland,0,0,1,0,0,0,0,0,13,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMN_M_R,Wetland,0,0,0,0,0,0,0,0,9,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMN_M_R,Built-up,0,0,1,0,0,0,0,0,2,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMN_M_R,Water,0,0,152,0,0,0,0,0,61,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20LMN_M_R,Bareland,0,0,2,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LMN_M_R,Grassland,0,156,78,68,189,39,32,183,0,8,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LMN_M_R,Forest,90,0,178,15,79,66,39,152,0,1,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LMN_M_R,Bareland,17,9,2,17,24,0,0,21,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LMN_M_R,Water,41,92,152,5,62,28,0,97,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LMN_M_R,Shrubland,4,6,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LMN_M_R,Built-up,27,6,1,0,37,1,0,17,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LMN_M_R,Wetland,1,4,0,0,1,1,0,1,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20LMN_M_R,Cropland,45,31,1,30,0,4,0,52,0,1,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LMN_M_R,Grassland,0,0,0,0,0,0,43,0,0,0,43,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LMN_M_R,Shrubland,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LMN_M_R,Wetland,0,0,0,0,0,0,29,0,0,0,14,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LMN_M_R,Forest,0,0,0,0,0,0,77,0,0,0,55,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LMN_M_R,Water,0,0,0,0,0,0,0,0,0,0,133,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20LMN_M_R,Cropland,0,0,0,0,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LMN_M_R,Grassland,0,60,4,62,342,8,91,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LMN_M_R,Bareland,0,0,0,4,34,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LMN_M_R,Shrubland,0,2,0,1,5,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LMN_M_R,Built-up,0,0,0,0,22,4,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LMN_M_R,Wetland,0,9,0,2,30,0,40,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LMN_M_R,Water,0,13,0,2,35,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LMN_M_R,Forest,0,0,2,24,113,0,188,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20LMN_M_R,Cropland,0,5,0,9,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LMN_M_R,Forest,15,0,3,0,19,12,22,0,0,0,0,2
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LMN_M_R,Shrubland,4,23,0,0,3,3,1,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LMN_M_R,Cropland,24,34,0,0,0,71,8,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LMN_M_R,Wetland,25,87,0,0,2,2,26,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LMN_M_R,Bareland,2,4,0,0,3,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LMN_M_R,Water,8,156,8,0,4,1,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LMN_M_R,Built-up,9,14,0,0,13,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20LMN_M_R,Grassland,0,177,18,0,66,83,92,0,0,0,0,9
