Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_18MWE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MWE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MWE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MWE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MWE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_18MWE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_18MWE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_18MWE_M_R
0,NULL,NULL,NULL,NULL,Non_Wetland,NULL,NULL,NULL
1,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
2,NULL,NULL,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
3,NULL,NULL,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
4,NULL,NULL,Wetland,NULL,Wetland,NULL,NULL,NULL
5,NULL,NULL,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
6,NULL,NULL,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
7,NULL,NULL,Water,NULL,Water,NULL,NULL,NULL
8,NULL,NULL,Forest,NULL,Non_Wetland,NULL,NULL,NULL
9,NULL,Cropland,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
10,NULL,Cropland,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
11,NULL,Cropland,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
12,NULL,Cropland,Forest,NULL,Non_Wetland,NULL,NULL,NULL
13,NULL,Bareland,Wetland,NULL,Wetland,NULL,NULL,NULL
14,NULL,Bareland,Water,NULL,Water,NULL,NULL,NULL
15,NULL,Built-up,NULL,NULL,Non_Wetland,NULL,NULL,NULL
16,NULL,Built-up,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
17,NULL,Built-up,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
18,NULL,Built-up,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
19,NULL,Built-up,Built-up,NULL,Non_Wetland,NULL,NULL,NULL
20,NULL,Built-up,Water,NULL,Water,NULL,NULL,NULL
21,NULL,Built-up,Forest,NULL,Non_Wetland,NULL,NULL,NULL
22,NULL,Water,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
23,NULL,Water,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
24,NULL,Water,Wetland,NULL,Wetland,NULL,NULL,NULL
25,NULL,Water,Water,NULL,Water,NULL,NULL,NULL
26,NULL,Water,Forest,NULL,Non_Wetland,NULL,NULL,NULL
27,NULL,Forest,NULL,NULL,Non_Wetland,NULL,NULL,NULL
28,NULL,Forest,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
29,NULL,Forest,Grassland,NULL,Non_Wetland,NULL,NULL,NULL
30,NULL,Forest,Cropland,NULL,Non_Wetland,NULL,NULL,NULL
31,NULL,Forest,Wetland,NULL,Wetland,NULL,NULL,NULL
32,NULL,Forest,Bareland,NULL,Non_Wetland,NULL,NULL,NULL
33,NULL,Forest,Water,NULL,Water,NULL,NULL,NULL
