Dataset,MajorityClass,Grassland,Forest,Cropland,Built-up,Water,Wetland,Bareland,Shrubland,Non_Wetland,Lichens_and_Mosses,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22KEA_M_R,Shrubland,74,27,8,2,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KEA_M_R,Grassland,0,218,141,42,33,10,16,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KEA_M_R,Non_Wetland,8,4,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KEA_M_R,Bareland,85,42,21,33,17,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KEA_M_R,Built-up,297,220,126,0,47,0,97,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KEA_M_R,Forest,929,0,236,148,212,72,78,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KEA_M_R,Cropland,764,417,0,188,124,20,161,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KEA_M_R,Wetland,160,106,7,1,62,0,11,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KEA_M_R,Water,570,459,53,64,0,72,174,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22KEA_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KEA_M_R,Non_Wetland,0,2,0,0,0,5,1,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KEA_M_R,Shrubland,14,6,0,3,0,11,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KEA_M_R,Grassland,0,113,0,60,62,165,38,12,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KEA_M_R,Cropland,315,216,0,236,143,273,251,40,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KEA_M_R,Forest,281,0,0,149,275,712,123,113,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KEA_M_R,Bareland,2,1,0,23,37,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KEA_M_R,Built-up,51,54,0,0,32,46,128,8,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KEA_M_R,Wetland,1,11,0,1,43,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KEA_M_R,Water,61,88,0,50,0,434,32,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22KEA_M_R,Permanent_ice_and_snow,0,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KEA_M_R,Grassland,0,90,91,25,40,184,61,83,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KEA_M_R,Non_Wetland,0,0,0,0,0,8,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KEA_M_R,Shrubland,2,3,5,2,1,13,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KEA_M_R,Cropland,204,137,0,150,39,227,249,85,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KEA_M_R,Forest,157,0,205,67,142,685,297,182,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KEA_M_R,Wetland,3,7,0,0,37,0,6,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KEA_M_R,Built-up,60,42,67,0,1,63,205,32,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KEA_M_R,Bareland,3,5,14,9,5,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KEA_M_R,Water,2,147,34,17,0,468,246,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22KEA_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KEA_M_R,Grassland,0,0,0,0,21,23,0,0,320,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KEA_M_R,Wetland,0,0,0,0,8,0,0,0,255,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KEA_M_R,Shrubland,0,0,0,0,0,0,0,0,24,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KEA_M_R,Cropland,0,0,0,0,30,23,0,0,466,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KEA_M_R,Bareland,0,0,0,0,7,1,0,0,13,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KEA_M_R,Built-up,0,0,0,0,12,4,0,0,105,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KEA_M_R,Forest,0,0,0,0,91,115,0,0,1225,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_22KEA_M_R,Water,0,0,0,0,0,220,0,0,542,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KEA_M_R,Grassland,0,216,360,121,21,23,16,268,0,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KEA_M_R,Wetland,5,81,39,4,8,0,12,50,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KEA_M_R,Built-up,23,74,235,0,12,4,14,130,0,4,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KEA_M_R,Forest,187,0,679,215,91,115,102,463,0,4,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KEA_M_R,Cropland,61,238,0,245,30,23,28,286,0,6,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KEA_M_R,Bareland,0,14,133,120,7,1,0,25,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KEA_M_R,Shrubland,1,0,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KEA_M_R,Water,23,367,441,104,0,220,141,172,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_22KEA_M_R,Permanent_ice_and_snow,0,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KEA_M_R,Shrubland,0,0,0,0,0,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KEA_M_R,Cropland,0,0,0,0,69,0,0,0,0,0,95,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KEA_M_R,Wetland,0,0,0,0,22,0,0,0,0,0,103,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KEA_M_R,Bareland,0,0,0,0,7,0,0,0,0,0,15,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KEA_M_R,Water,0,0,0,0,0,0,0,0,0,0,544,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KEA_M_R,Forest,0,0,0,0,179,0,0,0,0,0,223,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KEA_M_R,Built-up,0,0,0,0,26,0,0,0,0,0,16,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_22KEA_M_R,Grassland,0,0,0,0,26,0,0,0,0,0,77,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KEA_M_R,Grassland,0,157,576,155,34,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KEA_M_R,Bareland,0,2,155,79,29,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KEA_M_R,Forest,0,0,808,369,372,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KEA_M_R,Shrubland,0,9,36,12,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KEA_M_R,Wetland,0,61,184,18,77,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KEA_M_R,Built-up,0,14,159,0,14,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KEA_M_R,Water,0,125,630,80,0,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_22KEA_M_R,Cropland,0,92,0,209,18,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KEA_M_R,Built-up,101,190,129,0,77,1,67,0,0,0,0,4
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KEA_M_R,Water,88,441,41,0,0,26,18,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KEA_M_R,Forest,144,0,99,0,84,15,7,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KEA_M_R,Cropland,257,323,0,0,100,11,64,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KEA_M_R,Wetland,56,185,10,0,87,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KEA_M_R,Shrubland,4,35,4,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KEA_M_R,Bareland,15,22,11,0,22,2,0,0,0,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_22KEA_M_R,Grassland,0,146,69,0,27,1,4,0,0,0,0,0
