Dataset,MajorityClass,Forest,Water,Grassland,Bareland,Wetland,Non_Wetland,Shrubland,Cropland,Built-up,Lichens_and_Mosses,Non_Water
AMAZON_EXTENSION_2024_WorldCover_2021_19MGP_M_R,Wetland,25,23,10,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MGP_M_R,Water,111,0,16,1,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MGP_M_R,Bareland,2,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19MGP_M_R,Forest,0,70,14,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGP_M_R,Wetland,1,7,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGP_M_R,Forest,0,101,7,0,176,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGP_M_R,Water,31,0,0,0,138,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_19MGP_M_R,Bareland,0,7,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGP_M_R,Forest,0,25,0,0,83,158,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGP_M_R,Water,0,0,0,0,85,64,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_19MGP_M_R,Bareland,0,1,0,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGP_M_R,Forest,0,87,52,16,46,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGP_M_R,Bareland,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGP_M_R,Water,15,0,28,10,32,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_19MGP_M_R,Wetland,3,7,9,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MGP_M_R,Wetland,24,30,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MGP_M_R,Water,33,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MGP_M_R,Bareland,1,3,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_19MGP_M_R,Forest,0,112,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGP_M_R,Water,46,0,29,40,85,0,4,1,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGP_M_R,Bareland,0,1,0,0,6,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_19MGP_M_R,Forest,0,25,45,45,83,0,8,7,8,1,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MGP_M_R,Water,0,0,0,0,0,0,0,0,0,0,74
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MGP_M_R,Bareland,0,3,0,0,0,0,0,0,0,0,4
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MGP_M_R,Wetland,0,14,0,0,0,0,0,0,0,0,18
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19MGP_M_R,Forest,0,65,0,0,0,0,0,0,0,0,47
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MGP_M_R,Water,199,0,0,11,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MGP_M_R,Wetland,51,5,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_19MGP_M_R,Forest,0,3,0,0,0,0,0,0,0,0,0
