Dataset,MajorityClass,Grassland,Built-up,Forest,Water,Bareland,Non_Water,Shrubland,Cropland,Wetland,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_18MYD_M_R,Shrubland,3,1,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MYD_M_R,Grassland,0,1,5,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MYD_M_R,Wetland,3,0,2,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MYD_M_R,Built-up,5,0,7,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MYD_M_R,Water,18,0,33,0,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MYD_M_R,Forest,29,6,0,20,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MYD_M_R,Cropland,1,3,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_18MYD_M_R,Bareland,1,0,0,2,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYD_M_R,Shrubland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYD_M_R,Wetland,0,0,0,2,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYD_M_R,Built-up,0,0,0,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYD_M_R,Water,0,0,0,0,0,38,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYD_M_R,Bareland,0,0,0,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYD_M_R,Forest,0,0,0,31,0,21,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_18MYD_M_R,Grassland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYD_M_R,Wetland,0,3,1,2,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYD_M_R,Grassland,0,5,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYD_M_R,Water,0,6,12,0,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYD_M_R,Forest,0,9,0,33,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYD_M_R,Built-up,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_18MYD_M_R,Cropland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYD_M_R,Built-up,3,0,3,0,1,0,7,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYD_M_R,Forest,20,7,0,5,15,0,30,9,14,2,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYD_M_R,Grassland,0,0,0,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYD_M_R,Cropland,1,0,0,0,0,0,4,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYD_M_R,Bareland,0,0,0,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_18MYD_M_R,Water,10,6,10,0,11,0,15,7,21,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MYD_M_R,Forest,3,0,0,8,0,0,0,3,0,0,1
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MYD_M_R,Grassland,0,0,3,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MYD_M_R,Water,0,0,33,0,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MYD_M_R,Wetland,0,0,3,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MYD_M_R,Bareland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_18MYD_M_R,Built-up,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYD_M_R,Bareland,0,0,0,0,0,0,0,0,2,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYD_M_R,Water,0,0,0,0,0,0,0,0,21,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_18MYD_M_R,Forest,0,0,0,5,0,0,0,0,14,0,0
