Dataset,MajorityClass,Grassland,Cropland,Bareland,Forest,Wetland,Water,Built-up,Shrubland,Non_Wetland,Non_Water,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21LZE_M_R,Shrubland,285,58,70,129,30,77,37,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZE_M_R,Grassland,0,164,86,194,5,39,27,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZE_M_R,Non_Wetland,13,0,0,3,7,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZE_M_R,Bareland,167,73,0,62,0,9,34,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZE_M_R,Forest,669,206,89,0,63,227,47,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZE_M_R,Cropland,634,0,218,317,2,79,104,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZE_M_R,Wetland,150,1,7,87,0,70,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZE_M_R,Water,499,22,116,303,138,0,12,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZE_M_R,Built-up,169,62,57,105,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LZE_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZE_M_R,Non_Wetland,5,0,0,2,10,4,0,5,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZE_M_R,Shrubland,86,0,37,17,45,51,10,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZE_M_R,Grassland,0,0,54,65,84,51,20,286,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZE_M_R,Cropland,641,0,214,154,65,71,105,560,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZE_M_R,Wetland,20,0,2,51,0,254,0,95,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZE_M_R,Bareland,157,0,0,4,2,22,6,80,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZE_M_R,Water,241,0,30,105,104,0,8,450,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZE_M_R,Forest,489,0,162,0,312,323,53,929,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZE_M_R,Built-up,105,0,80,3,0,9,0,94,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LZE_M_R,Permanent_ice_and_snow,0,0,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZE_M_R,Wetland,0,0,0,0,0,7,0,0,264,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZE_M_R,Shrubland,0,0,0,0,0,0,0,0,132,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZE_M_R,Grassland,0,0,0,0,44,38,0,0,161,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZE_M_R,Forest,0,0,0,0,142,118,0,0,708,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZE_M_R,Water,0,0,0,0,231,0,0,0,257,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZE_M_R,Cropland,0,0,0,0,8,47,0,0,130,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZE_M_R,Bareland,0,0,0,0,2,24,0,0,5,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LZE_M_R,Built-up,0,0,0,0,0,13,0,0,7,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZE_M_R,Non_Wetland,1,0,2,0,12,3,0,7,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZE_M_R,Grassland,0,146,195,8,80,45,4,220,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZE_M_R,Wetland,17,0,16,18,0,139,0,87,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZE_M_R,Water,118,17,188,114,205,0,7,425,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZE_M_R,Forest,448,185,415,0,425,296,2,768,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZE_M_R,Shrubland,74,33,98,5,52,35,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZE_M_R,Bareland,64,40,0,0,3,0,0,25,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZE_M_R,Cropland,478,0,520,14,64,57,41,289,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LZE_M_R,Built-up,131,26,172,8,7,1,0,78,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZE_M_R,Water,0,0,0,0,0,0,0,0,0,369,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZE_M_R,Shrubland,0,0,0,0,0,43,0,0,0,31,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZE_M_R,Grassland,0,0,0,0,0,44,0,0,0,32,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZE_M_R,Bareland,0,0,0,0,0,11,0,0,0,2,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZE_M_R,Wetland,0,0,0,0,0,84,0,0,0,93,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZE_M_R,Cropland,0,0,0,0,0,42,0,0,0,26,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZE_M_R,Forest,0,0,0,0,0,142,0,0,0,160,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LZE_M_R,Built-up,0,0,0,0,0,0,0,0,0,3,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZE_M_R,Grassland,0,328,36,203,44,38,114,479,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZE_M_R,Wetland,0,5,3,91,0,7,0,80,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LZE_M_R,Bareland,4,160,0,38,2,24,109,194,0,0,0
