Dataset,MajorityClass,Grassland,Cropland,Bareland,Built-up,Water,Forest,Wetland,Permanent_ice_and_snow,Non_Water,Shrubland,Lichens_and_Mosses,Non_Wetland
AMAZON_EXTENSION_2024_WorldCover_2021_19KDU_M_R,Shrubland,1,1,1,1,1,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KDU_M_R,Grassland,0,5,3,1,0,4,2,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KDU_M_R,Cropland,32,0,20,5,2,22,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KDU_M_R,Wetland,21,1,10,1,4,13,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KDU_M_R,Lichens_and_Mosses,1,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KDU_M_R,Bareland,48,16,0,17,17,27,6,5,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KDU_M_R,Built-up,8,8,9,0,2,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KDU_M_R,Water,20,1,39,1,0,2,1,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KDU_M_R,Forest,24,8,10,3,0,0,9,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_19KDU_M_R,Permanent_ice_and_snow,0,0,14,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KDU_M_R,Bareland,0,0,0,0,38,0,0,0,15,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KDU_M_R,Wetland,0,0,0,0,4,0,0,0,3,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KDU_M_R,Water,0,0,0,0,0,0,0,0,33,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_19KDU_M_R,Grassland,0,0,0,0,0,0,0,0,2,0,0,0
