Dataset,MajorityClass,Cropland,Bareland,Built-up,Forest,Wetland,Water,Grassland,Non_Wetland,Shrubland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_25LBK_M_R,Grassland,139,12,48,257,167,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_25LBK_M_R,Non_Wetland,0,0,1,3,3,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_25LBK_M_R,Bareland,31,0,24,116,24,63,430,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_25LBK_M_R,Built-up,81,131,0,226,61,38,460,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_25LBK_M_R,Forest,179,44,75,0,328,53,775,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_25LBK_M_R,Cropland,0,52,111,262,43,7,536,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_25LBK_M_R,Wetland,37,25,18,223,0,104,385,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_25LBK_M_R,Shrubland,3,3,2,14,2,0,26,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_25LBK_M_R,Lichens_and_Mosses,0,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_25LBK_M_R,Water,60,149,31,253,210,0,401,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_25LBK_M_R,Permanent_ice_and_snow,7,0,3,16,5,1,28,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25LBK_M_R,Non_Wetland,0,0,1,1,6,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25LBK_M_R,Grassland,0,48,95,142,111,28,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25LBK_M_R,Cropland,0,41,147,152,31,11,317,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25LBK_M_R,Bareland,0,0,147,22,9,71,69,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25LBK_M_R,Built-up,0,49,0,33,36,40,73,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25LBK_M_R,Forest,0,84,182,0,242,89,394,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25LBK_M_R,Shrubland,0,3,9,3,3,1,8,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25LBK_M_R,Wetland,0,47,45,75,0,211,50,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_25LBK_M_R,Water,0,97,173,74,101,0,54,0,0,0,0,0
