Dataset,MajorityClass,Forest,Cropland,Built-up,Wetland,Bareland,Water,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_22MGB_M_R,Grassland,371,54,100,21,97,5,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MGB_M_R,Non_Wetland,5,0,0,1,0,0,8,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MGB_M_R,Cropland,201,0,79,1,65,4,285,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MGB_M_R,Wetland,207,0,2,0,16,50,421,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MGB_M_R,Bareland,131,24,62,10,0,13,266,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MGB_M_R,Built-up,102,9,0,3,43,0,186,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MGB_M_R,Water,436,0,4,138,94,0,432,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MGB_M_R,Shrubland,17,0,7,4,3,2,35,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MGB_M_R,Forest,0,8,59,68,50,53,632,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MGB_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,5,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGB_M_R,Non_Wetland,2,0,1,6,1,1,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGB_M_R,Grassland,118,0,83,153,154,54,0,41,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGB_M_R,Cropland,62,0,32,39,77,2,257,7,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MGB_M_R,Wetland,51,0,1,0,26,137,311,6,0,0,0,0
