Dataset,MajorityClass,Forest,Wetland,Built-up,Bareland,Water,Cropland,Grassland,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_21MXT_M_R,Grassland,301,98,44,10,2,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MXT_M_R,Non_Wetland,10,2,0,0,0,0,13,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MXT_M_R,Cropland,97,4,21,5,1,0,145,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MXT_M_R,Wetland,930,0,8,42,343,11,1429,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MXT_M_R,Bareland,339,59,26,0,92,0,435,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MXT_M_R,Built-up,207,16,0,48,28,0,298,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MXT_M_R,Water,622,554,0,133,0,3,926,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MXT_M_R,Forest,0,34,88,29,39,0,642,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MXT_M_R,Non_Water,2,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MXT_M_R,Shrubland,35,5,8,4,4,0,47,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MXT_M_R,Lichens_and_Mosses,3,0,0,0,0,0,3,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21MXT_M_R,Permanent_ice_and_snow,3,0,0,0,0,0,4,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXT_M_R,Non_Wetland,1,11,2,3,3,0,3,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXT_M_R,Grassland,93,585,43,234,152,0,0,12,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXT_M_R,Cropland,42,107,7,37,11,0,60,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXT_M_R,Wetland,48,0,14,185,861,0,276,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXT_M_R,Bareland,91,294,46,0,312,0,120,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXT_M_R,Built-up,41,109,0,138,43,0,86,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXT_M_R,Forest,0,719,136,371,354,0,469,26,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXT_M_R,Non_Water,0,0,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXT_M_R,Water,94,936,76,165,0,0,164,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXT_M_R,Shrubland,6,20,14,19,11,0,13,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXT_M_R,Lichens_and_Mosses,0,1,2,0,1,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21MXT_M_R,Permanent_ice_and_snow,0,4,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXT_M_R,Grassland,0,119,0,0,21,0,0,0,944,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21MXT_M_R,Wetland,0,0,0,0,131,0,0,0,1129,0,0,0
