Dataset,MajorityClass,Grassland,Wetland,Bareland,Water,Forest,Built-up,Cropland,Non_Wetland,Non_Water,Shrubland,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_20NQP_M_R,Shrubland,3,1,3,1,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQP_M_R,Grassland,0,3,14,4,12,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQP_M_R,Cropland,21,0,15,1,11,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQP_M_R,Wetland,59,0,34,29,47,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQP_M_R,Bareland,51,0,0,13,28,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQP_M_R,Built-up,9,0,8,1,9,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQP_M_R,Water,109,4,90,0,83,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQP_M_R,Forest,93,10,91,42,0,4,2,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20NQP_M_R,Permanent_ice_and_snow,7,0,2,3,2,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQP_M_R,Shrubland,0,0,0,0,0,0,0,1,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQP_M_R,Grassland,0,2,0,0,0,0,0,31,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQP_M_R,Forest,0,28,0,12,0,0,0,90,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQP_M_R,Wetland,0,0,0,3,0,0,0,69,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQP_M_R,Water,0,37,0,0,0,0,0,64,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQP_M_R,Bareland,0,11,0,4,0,0,0,30,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQP_M_R,Cropland,0,0,0,0,0,0,0,7,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20NQP_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,8,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQP_M_R,Shrubland,0,0,0,3,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQP_M_R,Grassland,0,0,0,19,0,0,0,0,4,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQP_M_R,Cropland,0,0,0,12,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQP_M_R,Wetland,0,0,0,38,0,0,0,0,21,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQP_M_R,Water,0,0,0,0,0,0,0,0,72,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQP_M_R,Forest,0,0,0,98,0,0,0,0,34,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQP_M_R,Bareland,0,0,0,34,0,0,0,0,5,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20NQP_M_R,Built-up,0,0,0,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQP_M_R,Water,43,37,9,0,64,5,67,0,0,68,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQP_M_R,Cropland,4,0,0,0,6,0,0,0,0,13,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20NQP_M_R,Wetland,10,0,2,3,12,3,16,0,0,19,0
