Dataset,MajorityClass,Grassland,Cropland,Forest,Water,Wetland,Bareland,Built-up,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXE_M_R,Grassland,0,84,60,33,45,144,13,158,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXE_M_R,Non_Wetland,1,0,0,2,7,1,0,4,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXE_M_R,Wetland,55,0,14,91,0,14,1,127,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXE_M_R,Forest,440,174,0,175,360,487,61,669,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXE_M_R,Bareland,81,51,14,3,4,0,7,24,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXE_M_R,Water,110,6,111,0,135,133,13,277,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXE_M_R,Shrubland,88,23,27,17,43,74,8,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXE_M_R,Cropland,442,0,177,21,55,470,85,285,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXE_M_R,Lichens_and_Mosses,2,1,0,0,0,6,0,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXE_M_R,Built-up,125,59,28,1,14,218,0,76,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LXE_M_R,Permanent_ice_and_snow,0,0,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LXE_M_R,Wetland,0,0,0,6,0,0,0,0,108,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LXE_M_R,Grassland,0,0,0,34,52,0,0,0,112,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LXE_M_R,Forest,0,0,0,124,200,0,0,0,519,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LXE_M_R,Water,0,0,0,0,199,0,0,0,109,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LXE_M_R,Shrubland,0,0,0,0,0,0,0,0,121,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LXE_M_R,Cropland,0,0,0,48,18,0,0,0,138,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LXE_M_R,Bareland,0,0,0,24,1,0,0,0,10,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LXE_M_R,Built-up,0,0,0,17,3,0,0,0,14,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LXE_M_R,Grassland,0,0,0,33,0,0,0,0,0,26,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LXE_M_R,Shrubland,0,0,0,20,0,0,0,0,0,10,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LXE_M_R,Water,0,0,0,0,0,0,0,0,0,196,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LXE_M_R,Bareland,0,0,0,5,0,0,0,0,0,3,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LXE_M_R,Cropland,0,0,0,17,0,0,0,0,0,9,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LXE_M_R,Wetland,0,0,0,60,0,0,0,0,0,72,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LXE_M_R,Forest,0,0,0,107,0,0,0,0,0,100,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LXE_M_R,Built-up,0,0,0,2,0,0,0,0,0,1,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LXE_M_R,Grassland,0,302,179,34,52,16,102,432,0,0,70
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LXE_M_R,Wetland,0,3,23,6,0,6,0,48,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LXE_M_R,Bareland,0,220,58,24,1,0,124,213,0,0,36
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LXE_M_R,Forest,49,521,0,124,200,63,178,730,0,0,46
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LXE_M_R,Water,3,85,142,0,199,6,8,270,0,0,2
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LXE_M_R,Cropland,11,0,242,48,18,2,212,505,0,0,100
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LXE_M_R,Built-up,0,169,40,17,3,1,0,165,0,0,9
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LXE_M_R,Shrubland,4,23,21,0,0,3,12,0,0,0,6
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LXE_M_R,Permanent_ice_and_snow,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LXE_M_R,Grassland,0,524,135,9,0,12,116,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LXE_M_R,Forest,0,543,0,232,0,0,379,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LXE_M_R,Shrubland,0,187,86,23,0,0,78,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LXE_M_R,Bareland,0,269,27,6,0,0,169,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LXE_M_R,Wetland,0,92,63,31,0,0,5,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LXE_M_R,Built-up,0,46,6,6,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LXE_M_R,Water,0,177,82,0,3,1,29,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LXE_M_R,Cropland,0,0,147,2,0,9,196,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LXE_M_R,Forest,107,195,0,40,1,60,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LXE_M_R,Shrubland,71,86,181,31,0,70,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LXE_M_R,Cropland,157,0,203,15,0,192,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LXE_M_R,Bareland,11,46,42,7,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LXE_M_R,Wetland,55,3,171,20,0,14,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LXE_M_R,Water,30,32,323,0,10,11,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LXE_M_R,Built-up,5,115,94,11,0,66,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_21LXE_M_R,Grassland,0,91,136,16,0,101,0,0,0,0,0
