Dataset,MajorityClass,Grassland,Cropland,Forest,Water,Wetland,Bareland,Built-up,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses
AMAZON_EXTENSION_2024_WorldCover_2021_21LXE_M_R,Shrubland,260,55,141,53,32,43,23,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LXE_M_R,Grassland,0,111,141,34,16,59,15,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LXE_M_R,Non_Wetland,8,0,3,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LXE_M_R,Bareland,228,64,88,7,3,0,49,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LXE_M_R,Forest,786,227,0,177,24,95,68,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LXE_M_R,Cropland,703,0,381,30,11,195,128,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LXE_M_R,Wetland,167,3,59,84,0,2,1,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LXE_M_R,Built-up,251,74,138,5,0,80,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LXE_M_R,Water,297,10,255,0,73,40,3,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LXE_M_R,Lichens_and_Mosses,6,5,0,0,0,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_21LXE_M_R,Permanent_ice_and_snow,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXE_M_R,Non_Wetland,2,0,1,1,9,0,0,4,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXE_M_R,Shrubland,76,0,31,24,54,43,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXE_M_R,Grassland,0,0,105,32,72,62,9,186,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXE_M_R,Cropland,559,0,320,35,74,269,104,500,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXE_M_R,Wetland,39,0,20,79,0,5,1,99,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXE_M_R,Bareland,113,0,28,16,3,0,38,88,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXE_M_R,Built-up,98,0,62,10,0,112,0,91,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXE_M_R,Water,114,0,131,0,106,65,9,279,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXE_M_R,Forest,451,0,0,183,266,205,68,809,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXE_M_R,Lichens_and_Mosses,2,0,0,0,0,1,0,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LXE_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,1,0,0,0
