Value,AMAZON_EXTENSION_2024_DynamicWorld_2024_21LWE_M_R,AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_21LWE_M_R,AMAZON_EXTENSION_2024_GLC_FCS30D_2022_21LWE_M_R,AMAZON_EXTENSION_2024_GSW_Yearly_2021_21LWE_M_R,AMAZON_EXTENSION_2024_GWL_FCS30D_2022_21LWE_M_R,AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_21LWE_M_R,AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_21LWE_M_R,AMAZON_EXTENSION_2024_WorldCover_2021_21LWE_M_R
29,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Shrubland,Forest
30,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,NULL
31,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Grassland
32,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Cropland
33,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Wetland
34,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Built-up
35,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Grassland,Forest
36,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,NULL
37,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Grassland
38,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Cropland
39,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Wetland
40,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Wetland,Forest
41,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Bareland,Forest
42,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Water,Grassland
43,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,NULL
44,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Grassland
45,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Cropland
46,NULL,NULL,NULL,NULL,Non_Wetland,Shrubland,Forest,Forest
47,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,NULL
48,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Grassland
49,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Cropland
50,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Bareland
51,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Built-up
52,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,NULL,Forest
53,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,NULL
54,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Grassland
55,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Cropland
56,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Bareland
57,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Built-up
58,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Water
59,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Shrubland,Forest
60,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,NULL
61,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Grassland
62,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Cropland
63,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Wetland
64,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Bareland
65,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Built-up
66,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Water
67,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Grassland,Forest
68,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,NULL
69,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Grassland
70,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Cropland
71,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Wetland
72,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Wetland,Forest
73,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,NULL
74,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Grassland
75,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Bareland,Forest
76,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Grassland
77,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Built-up,Forest
78,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Water,Grassland
79,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,NULL
80,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Grassland
81,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Cropland
82,NULL,NULL,NULL,NULL,Non_Wetland,Grassland,Forest,Forest
83,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,NULL
84,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Grassland
85,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Cropland
86,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,NULL,Forest
87,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,NULL
88,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Grassland
89,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Cropland
90,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Grassland,Forest
91,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Grassland
92,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Wetland,Forest
93,NULL,NULL,NULL,NULL,Non_Wetland,Cropland,Forest,Forest
94,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,NULL
95,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Grassland
96,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,NULL,Forest
97,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,NULL
98,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Grassland
99,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Wetland
100,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Shrubland,Forest
101,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,NULL
102,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Grassland
103,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Wetland
104,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Grassland,Forest
105,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,NULL
106,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Grassland
107,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Wetland
108,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Water
109,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Wetland,Forest
110,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Bareland,NULL
111,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Water,Grassland
112,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,NULL
113,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Grassland
114,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Wetland
115,NULL,NULL,NULL,NULL,Non_Wetland,Wetland,Forest,Forest
116,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,NULL
117,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Grassland
118,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Cropland
119,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Bareland
120,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Built-up
121,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,NULL,Forest
122,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,NULL
123,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Grassland
124,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Bareland
125,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Built-up
126,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Shrubland,Forest
127,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,NULL
128,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Grassland
129,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Cropland
130,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Bareland
131,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Built-up
132,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Grassland,Forest
133,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Grassland
134,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Wetland,Forest
135,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,NULL
136,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Grassland
137,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Bareland
138,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Bareland,Forest
139,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Grassland
140,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Built-up,Forest
141,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Water,Bareland
142,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,NULL
143,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Grassland
144,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Bareland
145,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Built-up
146,NULL,NULL,NULL,NULL,Non_Wetland,Bareland,Forest,Forest
147,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,NULL,Grassland
148,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Shrubland,Forest
149,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Grassland,Grassland
150,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,NULL
151,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Grassland
152,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Cropland
153,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Built-up
154,NULL,NULL,NULL,NULL,Non_Wetland,Built-up,Built-up,Forest
155,NULL,NULL,NULL,NULL,Non_Wetland,Water,Shrubland,Water
156,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,NULL
157,NULL,NULL,NULL,NULL,Non_Wetland,Water,Grassland,Grassland
158,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Grassland
159,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Wetland
160,NULL,NULL,NULL,NULL,Non_Wetland,Water,Wetland,Water
161,NULL,NULL,NULL,NULL,Non_Wetland,Water,Water,Wetland
162,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Grassland
163,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Cropland
164,NULL,NULL,NULL,NULL,Non_Wetland,Forest,NULL,Forest
165,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,NULL
166,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Shrubland,Forest
167,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,NULL
168,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Grassland
169,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Grassland,Forest
170,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Grassland
171,NULL,NULL,NULL,NULL,Non_Wetland,Forest,Forest,Forest
172,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Shrubland,Grassland
173,NULL,NULL,NULL,Non_Water,Non_Wetland,NULL,Grassland,Grassland
174,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,NULL,Forest
175,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,NULL
176,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Wetland
177,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Shrubland,Forest
178,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Grassland,NULL
179,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Grassland
180,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Wetland,Wetland
181,NULL,NULL,NULL,Non_Water,Non_Wetland,Shrubland,Water,NULL
182,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,NULL
183,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,NULL,Grassland
184,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,NULL
185,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Grassland,Grassland
186,NULL,NULL,NULL,Non_Water,Non_Wetland,Grassland,Wetland,Grassland
187,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Grassland
188,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Shrubland,Forest
189,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Wetland,Wetland
190,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,NULL
191,NULL,NULL,NULL,Non_Water,Non_Wetland,Wetland,Water,Wetland
192,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Bareland,Grassland
193,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Water,Water
194,NULL,NULL,NULL,Non_Water,Non_Wetland,Bareland,Forest,NULL
195,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,NULL,Water
196,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Shrubland,Grassland
197,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Wetland,Wetland
198,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Wetland
199,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Water
200,NULL,NULL,NULL,Non_Water,Non_Wetland,Water,Water,Forest
201,NULL,NULL,NULL,Water,Non_Wetland,Shrubland,Shrubland,Forest
202,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Shrubland,Grassland
203,NULL,NULL,NULL,Water,Non_Wetland,Grassland,Grassland,Grassland
204,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Wetland,Grassland
205,NULL,NULL,NULL,Water,Non_Wetland,Wetland,Water,Wetland
206,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Wetland
207,NULL,NULL,NULL,Water,Non_Wetland,Water,Water,Water
208,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,NULL
209,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Grassland
210,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Cropland
211,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,NULL,Forest
212,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,NULL
213,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Grassland
214,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Cropland
215,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Water
216,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Shrubland,Forest
217,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,NULL
218,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Grassland
219,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Cropland
220,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Wetland
221,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Bareland
222,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Water
223,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Grassland,Forest
224,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Grassland
225,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Wetland,Wetland
226,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Grassland
227,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Built-up
228,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Bareland,Forest
229,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,NULL
230,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Grassland
231,NULL,NULL,Shrubland,NULL,Non_Wetland,NULL,Forest,Forest
232,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,NULL
233,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Grassland
234,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Cropland
235,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Wetland
236,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Bareland
237,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Built-up
238,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Water
239,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,NULL,Forest
240,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,NULL
241,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Grassland
242,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Cropland
243,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Wetland
244,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Bareland
245,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Built-up
246,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Water
247,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Shrubland,Forest
248,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,NULL
249,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Grassland
250,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Cropland
251,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Wetland
252,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Bareland
253,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Built-up
254,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Water
255,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Grassland,Forest
256,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,NULL
257,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Grassland
258,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Cropland
259,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Wetland
260,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Wetland,Forest
261,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,NULL
262,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Grassland
263,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Built-up
264,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Bareland,Forest
265,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,NULL
266,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Grassland
267,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Cropland
268,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Built-up,Forest
269,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,NULL
270,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Grassland
271,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Water,Forest
272,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,NULL
273,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Grassland
274,NULL,NULL,Shrubland,NULL,Non_Wetland,Shrubland,Forest,Forest
275,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,NULL
276,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Grassland
277,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Cropland
278,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Wetland
279,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Bareland
280,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Built-up
281,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,NULL,Forest
282,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,NULL
283,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Grassland
284,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Cropland
285,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Bareland
286,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Built-up
287,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Water
288,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Shrubland,Forest
289,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,NULL
290,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Grassland
291,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Cropland
292,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Wetland
293,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Bareland
294,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Built-up
295,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Water
296,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Grassland,Forest
297,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,NULL
298,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Grassland
299,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Cropland
300,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Wetland
301,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Wetland,Forest
302,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,NULL
303,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Grassland
304,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Bareland
305,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Built-up
306,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Bareland,Forest
307,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,NULL
308,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Grassland
309,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Cropland
310,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Built-up
311,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Built-up,Forest
312,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Grassland
313,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Bareland
314,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Water,Forest
315,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,NULL
316,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Grassland
317,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Cropland
318,NULL,NULL,Shrubland,NULL,Non_Wetland,Grassland,Forest,Forest
319,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,NULL
320,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Grassland
321,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Cropland
322,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,NULL,Forest
323,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Grassland
324,NULL,NULL,Shrubland,NULL,Non_Wetland,Cropland,Shrubland,Cropland
