Dataset,MajorityClass,Grassland,Forest,Bareland,Water,Built-up,Wetland,Shrubland,Cropland,Non_Wetland,Non_Water
AMAZON_EXTENSION_2024_WorldCover_2021_22MCS_M_R,Shrubland,31,22,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MCS_M_R,Grassland,0,50,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MCS_M_R,Non_Wetland,6,5,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MCS_M_R,Wetland,166,192,28,67,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MCS_M_R,Bareland,17,13,0,14,1,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MCS_M_R,Water,94,278,43,0,0,31,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MCS_M_R,Cropland,0,2,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MCS_M_R,Built-up,4,5,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_22MCS_M_R,Forest,200,0,7,76,2,6,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCS_M_R,Shrubland,11,6,15,1,0,11,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCS_M_R,Grassland,0,24,23,7,0,59,20,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCS_M_R,Non_Wetland,1,1,2,1,0,4,3,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCS_M_R,Bareland,4,1,0,10,0,14,2,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCS_M_R,Forest,195,0,108,138,0,326,129,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCS_M_R,Water,42,62,3,0,0,221,14,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCS_M_R,Cropland,1,1,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCS_M_R,Wetland,16,13,1,176,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_22MCS_M_R,Built-up,1,5,7,0,0,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCS_M_R,Grassland,0,0,26,4,0,34,18,2,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCS_M_R,Forest,301,0,139,140,0,169,125,4,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCS_M_R,Wetland,143,8,13,99,0,0,5,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCS_M_R,Non_Wetland,1,0,1,2,0,8,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCS_M_R,Shrubland,11,0,12,4,0,10,0,1,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCS_M_R,Water,121,54,48,0,0,117,5,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_22MCS_M_R,Cropland,2,0,1,0,0,0,0,0,0,0
