Dataset,MajorityClass,Grassland,Forest,Wetland,Bareland,Built-up,Cropland,Water,Shrubland,Non_Wetland,Non_Water,Lichens_and_Mosses,Permanent_ice_and_snow
AMAZON_EXTENSION_2024_WorldCover_2021_24LVK_M_R,Shrubland,110,39,7,8,9,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LVK_M_R,Grassland,0,397,19,48,112,72,41,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LVK_M_R,Non_Wetland,10,2,4,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LVK_M_R,Bareland,526,116,80,0,46,10,86,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LVK_M_R,Built-up,492,313,43,159,0,18,51,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LVK_M_R,Water,864,880,377,222,58,27,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LVK_M_R,Forest,1149,0,258,91,144,57,172,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LVK_M_R,Wetland,776,489,0,104,43,4,249,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LVK_M_R,Cropland,255,128,17,41,38,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_24LVK_M_R,Permanent_ice_and_snow,53,14,0,5,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LVK_M_R,Non_Wetland,0,2,6,2,1,0,2,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LVK_M_R,Shrubland,18,12,4,12,5,0,7,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LVK_M_R,Grassland,0,124,40,188,78,0,80,143,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LVK_M_R,Wetland,62,240,0,528,67,0,501,11,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LVK_M_R,Bareland,30,14,10,0,71,0,116,4,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LVK_M_R,Built-up,143,64,42,179,0,0,124,1,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LVK_M_R,Forest,603,0,233,302,140,0,386,285,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LVK_M_R,Cropland,100,34,33,69,27,0,25,29,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LVK_M_R,Water,253,232,79,338,146,0,0,37,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_24LVK_M_R,Permanent_ice_and_snow,3,1,1,17,0,0,6,6,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LVK_M_R,Wetland,0,0,0,0,0,0,47,0,554,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LVK_M_R,Grassland,0,0,115,0,0,0,17,0,358,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LVK_M_R,Bareland,0,0,195,0,0,0,26,0,170,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LVK_M_R,Forest,0,0,526,0,0,0,79,0,953,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LVK_M_R,Water,0,0,713,0,0,0,0,0,366,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LVK_M_R,Shrubland,0,0,0,0,0,0,0,0,37,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LVK_M_R,Cropland,0,0,1,0,0,0,0,0,107,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LVK_M_R,Built-up,0,0,144,0,0,0,11,0,128,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_24LVK_M_R,Permanent_ice_and_snow,0,0,0,0,0,0,0,0,23,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LVK_M_R,Grassland,0,141,75,78,115,0,8,109,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LVK_M_R,Non_Wetland,1,0,11,3,0,0,2,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LVK_M_R,Bareland,128,3,51,0,55,0,6,2,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LVK_M_R,Built-up,252,36,37,235,0,0,10,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LVK_M_R,Forest,828,0,404,256,183,0,133,193,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_24LVK_M_R,Wetland,180,296,0,492,41,0,231,1,0,0,0,0
