Dataset,MajorityClass,Non_Wetland,Water,Wetland,Grassland,Forest,Bareland,Shrubland,Built-up,Lichens_and_Mosses,Cropland,Non_Water
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMC_M_R,Wetland,29,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMC_M_R,Grassland,4,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMC_M_R,Bareland,1,0,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMC_M_R,Water,128,0,64,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GWL_FCS30D_2022_20MMC_M_R,Forest,159,14,34,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MMC_M_R,Wetland,0,18,0,27,51,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MMC_M_R,Bareland,0,0,0,1,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MMC_M_R,Water,0,0,61,58,117,4,0,0,0,0,0
AMAZON_EXTENSION_2024_WorldCover_2021_20MMC_M_R,Forest,0,14,5,23,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MMC_M_R,Wetland,0,1,0,6,6,10,2,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MMC_M_R,Water,0,0,64,50,55,54,2,1,0,0,0
AMAZON_EXTENSION_2024_GLC_FCS30D_2022_20MMC_M_R,Forest,0,14,34,33,0,32,14,3,1,1,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMC_M_R,Grassland,0,3,3,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMC_M_R,Wetland,0,41,0,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMC_M_R,Bareland,0,0,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMC_M_R,Forest,0,74,95,4,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_10mbeta_2023_20MMC_M_R,Water,0,0,85,0,1,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMC_M_R,Grassland,0,4,2,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMC_M_R,Wetland,0,28,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMC_M_R,Bareland,0,1,0,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMC_M_R,Forest,0,66,137,5,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_MapBiomas_Collection10_2024_20MMC_M_R,Water,0,0,149,0,8,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MMC_M_R,Wetland,0,61,0,0,17,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MMC_M_R,Water,0,0,16,0,14,1,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MMC_M_R,Forest,0,76,9,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_ESRI_Annual_LULC_2024_20MMC_M_R,Grassland,0,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MMC_M_R,Wetland,0,10,0,0,0,0,0,0,0,0,22
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MMC_M_R,Water,0,0,0,0,0,0,0,0,0,0,59
AMAZON_EXTENSION_2024_GSW_Yearly_2021_20MMC_M_R,Forest,0,25,0,0,0,0,0,0,0,0,17
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MMC_M_R,Wetland,0,16,0,0,70,3,0,0,0,1,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MMC_M_R,Water,0,0,25,0,159,10,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MMC_M_R,Forest,0,1,1,0,0,0,0,0,0,0,0
AMAZON_EXTENSION_2024_DynamicWorld_2024_20MMC_M_R,Grassland,0,0,0,0,4,0,0,0,0,0,0
